Date,Close
1/31/2007,100.00
2/28/2007,102.12
3/30/2007,98.65
4/30/2007,100.58
5/31/2007,102.95
6/29/2007,104.22
7/31/2007,101.35
8/31/2007,100.12
9/28/2007,103.54
10/31/2007,105.92
11/30/2007,104.38
12/31/2007,107.61
1/31/2008,111.38
2/29/2008,118.52
3/31/2008,119.23
4/30/2008,116.95
5/30/2008,119.70
6/30/2008,124.49
7/31/2008,121.38
8/29/2008,118.35
9/30/2008,120.62
10/31/2008,128.06
11/28/2008,133.31
12/31/2008,138.51
1/30/2009,136.43
2/27/2009,138.24
3/31/2009,132.57
4/30/2009,128.33
5/29/2009,129.61
6/30/2009,126.89
7/31/2009,128.41
8/31/2009,129.17
9/30/2009,132.46
10/30/2009,130.17
11/30/2009,134.91
12/31/2009,129.65
1/29/2010,126.41
2/26/2010,127.67
3/31/2010,131.25
4/30/2010,133.48
5/31/2010,130.94
6/30/2010,132.12
7/30/2010,131.47
8/31/2010,136.86
9/30/2010,138.51
10/29/2010,143.08
11/30/2010,140.65
12/31/2010,146.42
1/31/2011,141.00
2/28/2011,143.12
3/31/2011,142.26
4/29/2011,148.95
5/31/2011,144.18
6/30/2011,141.01
7/29/2011,145.24
8/31/2011,146.11
9/30/2011,145.38
10/31/2011,140.73
11/30/2011,139.19
12/30/2011,139.33
1/31/2012,141.00
2/29/2012,143.54
3/30/2012,141.39
4/30/2012,142.10
5/31/2012,146.35
6/29/2012,142.10
7/31/2012,144.94
8/31/2012,146.10
9/28/2012,142.30
10/31/2012,140.17
11/30/2012,141.29
12/31/2012,139.87
1/31/2013,141.55
2/28/2013,143.39
3/29/2013,146.26
4/30/2013,149.34
5/31/2013,144.86
6/28/2013,141.24
7/31/2013,142.94
8/30/2013,138.65
9/30/2013,141.42
10/31/2013,144.25
11/29/2013,147.14
12/31/2013,144.20
1/31/2014,142.47
2/28/2014,145.32
3/31/2014,144.16
4/30/2014,146.33
5/30/2014,149.26
6/30/2014,151.05
7/31/2014,151.35
8/29/2014,158.92
9/30/2014,165.28
10/31/2014,167.26
11/28/2014,178.97
12/31/2014,185.24
1/30/2015,198.21
2/27/2015,198.61
3/31/2015,201.59
4/30/2015,195.54
5/29/2015,191.63
6/30/2015,182.05
7/31/2015,188.42
8/31/2015,188.04
9/30/2015,187.10
10/30/2015,178.68
11/30/2015,182.25
12/31/2015,178.61
1/29/2016,185.54
2/29/2016,190.96
3/31/2016,191.90
4/29/2016,183.99
5/31/2016,177.90
6/30/2016,182.35
7/29/2016,185.61
8/31/2016,182.99
9/30/2016,177.12
10/31/2016,172.76
11/30/2016,173.80
12/30/2016,179.67
1/31/2017,181.47
2/28/2017,186.42
3/31/2017,184.31
4/28/2017,184.26
5/31/2017,191.32
6/30/2017,185.02
7/31/2017,194.66
8/31/2017,197.85
9/29/2017,190.07
10/31/2017,200.94
11/30/2017,202.23
12/29/2017,198.29
1/31/2018,210.90
2/28/2018,192.93
3/29/2018,191.64
4/30/2018,188.06
5/31/2018,187.80
6/29/2018,190.37
7/31/2018,185.44
8/31/2018,192.93
9/28/2018,182.51
10/31/2018,183.92
11/30/2018,178.02
12/31/2018,190.43
1/31/2019,188.71
2/28/2019,185.81
3/29/2019,201.68
4/30/2019,206.74
5/31/2019,207.85
6/28/2019,215.31
7/31/2019,233.01
8/30/2019,240.72
9/30/2019,231.07
10/31/2019,216.26
11/29/2019,220.56
12/31/2019,223.01
1/31/2020,218.26
2/28/2020,213.59
3/31/2020,229.18
4/30/2020,222.10
5/29/2020,216.61
6/30/2020,211.89
7/31/2020,217.57
8/31/2020,218.51
9/30/2020,211.02
10/30/2020,207.05
11/30/2020,210.03
12/31/2020,225.76
1/29/2021,216.98
2/26/2021,223.49
3/31/2021,230.39
4/30/2021,234.31
5/31/2021,239.91
6/30/2021,236.43
7/30/2021,239.57
8/31/2021,237.80
9/30/2021,224.82
10/29/2021,235.30
11/30/2021,217.98
12/31/2021,217.48
1/31/2022,208.76
2/28/2022,209.20
3/31/2022,223.43
4/29/2022,238.73
5/31/2022,236.84
6/30/2022,243.95
7/29/2022,232.39
8/31/2022,237.64
9/30/2022,260.33
10/31/2022,260.38
11/30/2022,245.87
12/30/2022,244.42
1/31/2023,244.08
2/28/2023,247.30
3/31/2023,228.31
4/28/2023,234.20
5/31/2023,240.57
6/30/2023,247.86
7/31/2023,238.14
8/31/2023,230.93
