Date,Close
1/31/2007,100.00
2/28/2007,105.12
3/30/2007,112.45
4/30/2007,124.30
5/31/2007,132.18
6/29/2007,128.90
7/31/2007,135.50
8/31/2007,122.14
9/28/2007,141.05
10/31/2007,152.40
11/30/2007,130.12
12/31/2007,133.85
1/31/2008,125.60
2/29/2008,148.92
3/31/2008,140.15
4/30/2008,155.60
5/30/2008,162.30
6/30/2008,158.45
7/31/2008,135.20
8/29/2008,110.15
9/30/2008,82.40
10/31/2008,41.50
11/28/2008,35.12
12/31/2008,38.90
1/30/2009,36.45
2/27/2009,38.20
3/31/2009,52.10
4/30/2009,68.45
5/29/2009,85.30
6/30/2009,82.15
7/31/2009,102.40
8/31/2009,105.60
9/30/2009,112.18
10/30/2009,118.90
11/30/2009,132.45
12/31/2009,145.20
1/29/2010,122.15
2/26/2010,130.40
3/31/2010,142.80
4/30/2010,133.50
