Date,Close
1/31/2007,100.00
2/28/2007,102.15
3/30/2007,101.05
4/30/2007,104.40
5/31/2007,106.82
6/29/2007,105.30
7/31/2007,102.12
8/31/2007,104.55
9/28/2007,108.90
10/31/2007,112.45
11/30/2007,109.20
12/31/2007,110.15
1/31/2008,101.40
2/29/2008,103.55
3/31/2008,98.20
4/30/2008,102.10
5/30/2008,104.45
6/30/2008,95.30
7/31/2008,94.12
8/29/2008,95.80
9/30/2008,82.40
10/31/2008,68.90
11/28/2008,65.15
12/31/2008,67.40
1/30/2009,62.10
2/27/2009,58.45
3/31/2009,64.90
4/30/2009,72.15
5/29/2009,78.40
6/30/2009,76.12
7/31/2009,82.55
8/31/2009,85.90
9/30/2009,91.20
10/30/2009,88.45
11/30/2009,93.10
12/31/2009,97.65
1/29/2010,94.20
2/26/2010,96.85
3/31/2010,101.40
4/30/2010,103.20
5/31/2010,95.45
6/30/2010,91.80
7/30/2010,98.12
8/31/2010,94.55
9/30/2010,99.90
10/29/2010,103.45
11/30/2010,102.10
12/31/2010,107.85
1/31/2011,109.40
2/28/2011,112.55
3/31/2011,111.20
4/29/2011,115.40
5/31/2011,113.82
6/30/2011,111.30
7/29/2011,106.12
8/31/2011,98.55
9/30/2011,91.90
10/31/2011,102.45
11/30/2011,99.20
12/30/2011,101.15
1/31/2012,104.40
2/29/2012,106.55
3/30/2012,108.20
4/30/2012,107.10
5/31/2012,101.45
6/29/2012,105.30
7/31/2012,106.12
8/31/2012,108.55
9/28/2012,111.90
10/31/2012,109.45
11/30/2012,111.10
12/31/2012,113.85
1/31/2013,118.40
2/28/2013,121.55
3/29/2013,125.20
4/30/2013,127.40
5/31/2013,131.82
6/28/2013,129.30
7/31/2013,136.12
8/30/2013,134.55
9/30/2013,141.90
10/31/2013,146.45
11/29/2013,151.10
12/31/2013,156.85
1/31/2014,152.40
2/28/2014,159.55
3/31/2014,157.20
4/30/2014,158.40
5/30/2014,162.82
6/30/2014,165.30
7/31/2014,161.12
8/29/2014,166.55
9/30/2014,163.90
10/31/2014,168.45
11/28/2014,172.10
12/31/2014,170.85
1/30/2015,168.40
2/27/2015,175.55
3/31/2015,173.20
4/30/2015,178.40
5/29/2015,181.82
6/30/2015,176.30
7/31/2015,182.12
8/31/2015,171.55
9/30/2015,168.90
10/30/2015,179.45
11/30/2015,181.10
12/31/2015,178.85
1/29/2016,172.40
2/29/2016,176.55
3/31/2016,188.20
4/29/2016,192.40
5/31/2016,195.82
6/30/2016,191.30
7/29/2016,201.12
8/31/2016,203.55
9/30/2016,205.90
10/31/2016,201.45
11/30/2016,218.10
12/30/2016,222.85
1/31/2017,226.40
2/28/2017,238.55
3/31/2017,241.20
4/28/2017,244.40
5/31/2017,252.82
6/30/2017,250.30
7/31/2017,258.12
8/31/2017,262.55
9/29/2017,271.90
10/31/2017,279.45
11/30/2017,284.10
12/29/2017,288.85
1/31/2018,298.40
2/28/2018,285.55
3/30/2018,282.20
4/30/2018,289.40
5/31/2018,293.82
6/29/2018,288.30
7/31/2018,301.12
8/31/2018,312.55
9/28/2018,315.90
10/31/2018,282.45
11/30/2018,294.10
12/31/2018,272.85
1/31/2019,291.40
2/28/2019,305.55
3/29/2019,312.20
4/30/2019,324.40
5/31/2019,308.82
6/28/2019,328.30
7/31/2019,332.12
8/30/2019,325.55
9/30/2019,338.90
10/31/2019,342.45
11/29/2019,351.10
12/31/2019,358.85
1/31/2020,354.40
2/28/2020,322.55
3/31/2020,268.20
4/30/2020,305.40
5/29/2020,318.82
6/30/2020,324.30
7/31/2020,318.12
8/31/2020,332.55
9/30/2020,321.90
10/30/2020,311.45
11/30/2020,348.10
12/31/2020,354.85
1/29/2021,342.40
2/26/2021,355.55
3/31/2021,372.20
4/30/2021,384.40
5/31/2021,392.82
6/30/2021,388.30
7/30/2021,395.12
8/31/2021,402.55
9/30/2021,388.90
10/29/2021,412.45
11/30/2021,401.10
12/31/2021,418.85
1/31/2022,408.40
2/28/2022,442.55
3/31/2022,482.20
4/29/2022,474.40
5/31/2022,488.82
6/30/2022,458.30
7/29/2022,491.12
8/31/2022,482.55
9/30/2022,448.90
10/31/2022,492.45
11/30/2022,521.10
12/30/2022,512.85
1/31/2023,534.40
2/28/2023,545.55
3/31/2023,562.20
4/28/2023,574.40
