Date,Close
1/31/2007,100.00
2/28/2007,101.45
3/30/2007,102.88
4/30/2007,104.21
5/31/2007,103.95
6/29/2007,104.58
7/31/2007,105.12
8/31/2007,104.90
9/28/2007,110.15
10/31/2007,114.62
11/30/2007,113.88
12/31/2007,116.24
1/31/2008,118.42
2/29/2008,130.38
3/31/2008,131.55
4/30/2008,138.40
5/30/2008,148.22
6/30/2008,154.12
7/31/2008,138.71
8/29/2008,126.34
9/30/2008,111.18
10/31/2008,86.05
11/28/2008,78.14
12/31/2008,68.45
1/30/2009,64.21
2/27/2009,60.18
3/31/2009,61.99
4/30/2009,62.88
5/29/2009,72.45
6/30/2009,68.90
7/31/2009,71.55
8/31/2009,72.33
9/30/2009,69.44
10/30/2009,73.12
11/30/2009,77.58
12/31/2009,81.06
1/29/2010,74.58
2/26/2010,75.92
3/31/2010,78.44
4/30/2010,80.12
5/31/2010,73.44
6/30/2010,72.15
7/30/2010,78.58
8/31/2010,79.11
9/30/2010,86.42
10/29/2010,91.33
11/30/2010,93.45
12/31/2010,101.72
1/31/2011,104.22
2/28/2011,108.55
3/31/2011,113.12
4/29/2011,118.90
5/31/2011,110.45
6/30/2011,107.12
7/29/2011,111.58
8/31/2011,110.12
9/30/2011,96.88
10/31/2011,102.45
11/30/2011,100.15
12/30/2011,95.54
1/31/2012,97.88
2/29/2012,101.45
3/30/2012,98.12
4/30/2012,97.55
5/31/2012,89.12
6/29/2012,92.58
7/31/2012,98.44
8/31/2012,100.12
9/28/2012,102.33
10/31/2012,99.12
11/30/2012,98.45
12/31/2012,95.35
1/31/2013,97.58
2/28/2013,93.44
3/28/2013,94.12
4/30/2013,91.33
5/31/2013,89.45
6/28/2013,86.12
7/31/2013,88.45
8/30/2013,90.58
9/30/2013,88.12
10/31/2013,87.45
11/29/2013,86.33
12/31/2013,86.20
1/31/2014,84.12
2/28/2014,89.44
3/31/2014,90.15
4/30/2014,92.33
5/30/2014,91.12
6/30/2014,93.45
7/31/2014,88.45
8/29/2014,87.12
9/30/2014,82.45
10/31/2014,80.12
11/28/2014,73.45
12/31/2014,68.15
1/30/2015,65.12
2/27/2015,67.45
3/31/2015,64.12
4/30/2015,69.12
5/29/2015,67.45
6/30/2015,64.12
7/31/2015,57.45
8/31/2015,56.88
9/30/2015,55.12
10/30/2015,54.90
11/30/2015,51.12
12/31/2015,48.38
1/29/2016,47.88
2/29/2016,48.45
3/31/2016,50.12
4/29/2016,54.58
5/31/2016,54.12
6/30/2016,56.45
7/29/2016,53.12
8/31/2016,54.12
9/30/2016,55.45
10/31/2016,55.12
11/30/2016,56.45
12/30/2016,58.21
1/31/2017,58.45
2/28/2017,58.12
3/31/2017,56.45
4/28/2017,55.12
5/31/2017,53.45
6/30/2017,54.12
7/31/2017,55.45
8/31/2017,55.90
9/29/2017,57.45
10/31/2017,59.12
11/30/2017,60.45
12/29/2017,62.47
1/31/2018,63.45
2/28/2018,62.12
3/29/2018,63.12
4/30/2018,64.58
5/31/2018,65.12
6/29/2018,63.45
7/31/2018,62.12
8/31/2018,60.45
9/28/2018,62.12
10/31/2018,60.12
11/30/2018,59.12
12/31/2018,57.02
1/31/2019,60.33
2/28/2019,61.11
3/29/2019,61.05
4/30/2019,60.81
5/31/2019,58.26
6/28/2019,60.12
7/31/2019,59.46
8/30/2019,58.15
9/30/2019,59.08
10/31/2019,60.38
11/29/2019,58.81
12/31/2019,62.04
1/31/2020,56.77
2/28/2020,53.59
3/31/2020,45.07
4/30/2020,44.30
5/29/2020,46.74
6/30/2020,48.14
7/31/2020,51.75
8/31/2020,55.89
9/30/2020,53.49
10/30/2020,54.56
11/30/2020,56.91
12/31/2020,60.27
1/29/2021,62.08
2/26/2021,66.92
3/31/2021,65.31
4/30/2021,71.78
5/28/2021,74.08
6/30/2021,75.34
7/30/2021,77.22
8/31/2021,76.60
