Date,Close
1/31/2007,100.00
2/28/2007,103.42
3/30/2007,101.15
4/30/2007,105.62
5/31/2007,108.91
6/29/2007,104.28
7/31/2007,98.15
8/31/2007,101.40
9/28/2007,105.88
10/31/2007,109.30
11/30/2007,103.45
12/31/2007,105.12
1/30/2008,92.40
2/29/2008,94.95
3/31/2008,88.10
4/30/2008,92.45
5/30/2008,95.60
6/30/2008,84.12
7/31/2008,82.35
8/29/2008,85.12
9/30/2008,72.40
10/31/2008,58.85
11/28/2008,55.10
12/31/2008,58.33
1/30/2009,52.12
2/27/2009,48.45
3/31/2009,55.10
4/30/2009,62.88
5/29/2009,68.15
6/30/2009,65.40
7/31/2009,72.12
8/31/2009,75.95
9/30/2009,81.30
10/30/2009,78.22
11/30/2009,84.15
12/31/2009,88.40
1/29/2010,84.12
2/26/2010,86.95
3/31/2010,91.30
4/30/2010,94.88
5/31/2010,88.15
6/30/2010,85.40
7/30/2010,91.12
8/31/2010,88.25
9/30/2010,93.40
10/29/2010,96.12
11/30/2010,93.85
12/31/2010,98.10
1/31/2011,100.45
2/28/2011,104.12
3/31/2011,101.88
4/29/2011,105.15
5/31/2011,103.40
6/30/2011,99.22
7/29/2011,93.45
8/31/2011,81.12
9/30/2011,73.40
10/31/2011,84.15
11/30/2011,81.90
12/30/2011,83.12
1/31/2012,87.40
2/29/2012,89.15
3/30/2012,90.45
4/30/2012,89.12
5/31/2012,83.45
6/29/2012,87.12
7/31/2012,89.88
8/31/2012,92.40
9/28/2012,96.15
10/31/2012,94.22
11/30/2012,96.45
12/31/2012,98.10
1/31/2013,102.45
2/28/2013,105.88
3/29/2013,109.12
4/30/2013,111.45
5/31/2013,115.30
6/28/2013,112.45
7/31/2013,120.12
8/30/2013,118.40
9/30/2013,125.15
10/31/2013,130.45
11/29/2013,135.12
12/31/2013,140.40
1/31/2014,136.15
2/28/2014,143.12
3/31/2014,141.45
4/30/2014,142.88
5/30/2014,148.12
6/30/2014,150.45
7/31/2014,144.12
8/29/2014,149.88
9/30/2014,146.12
10/31/2014,151.45
11/28/2014,155.12
12/31/2014,152.40
1/30/2015,150.15
2/27/2015,160.12
3/31/2015,157.45
4/30/2015,163.12
5/29/2015,167.45
6/30/2015,161.12
7/31/2015,168.45
8/31/2015,157.12
9/30/2015,154.40
10/30/2015,165.12
11/30/2015,167.45
12/31/2015,163.12
1/29/2016,156.45
2/29/2016,161.12
3/31/2016,171.45
4/29/2016,175.12
5/31/2016,178.45
6/30/2016,172.12
7/29/2016,182.45
8/31/2016,184.12
9/30/2016,187.45
10/31/2016,182.12
11/30/2016,191.45
12/30/2016,196.12
1/31/2017,200.45
2/28/2017,207.12
3/31/2017,211.45
4/28/2017,215.12
5/31/2017,223.45
6/30/2017,220.12
7/31/2017,227.45
8/31/2017,231.12
9/29/2017,240.45
10/31/2017,248.12
11/30/2017,253.45
12/29/2017,257.12
1/31/2018,265.45
2/28/2018,254.12
3/30/2018,251.45
4/30/2018,257.12
5/31/2018,261.45
6/29/2018,257.12
7/31/2018,270.45
8/31/2018,281.12
9/28/2018,284.45
10/31/2018,257.12
11/30/2018,267.45
12/31/2018,247.12
1/31/2019,265.45
2/28/2019,278.12
3/29/2019,285.45
4/30/2019,297.12
5/31/2019,281.45
6/28/2019,301.12
7/31/2019,305.45
8/30/2019,297.12
9/30/2019,310.45
10/31/2019,314.12
11/29/2019,323.45
12/31/2019,330.12
1/31/2020,327.45
2/28/2020,295.12
3/31/2020,241.45
4/30/2020,277.12
5/29/2020,290.45
6/30/2020,296.12
7/31/2020,290.45
8/31/2020,304.12
9/30/2020,293.45
10/30/2020,283.12
11/30/2020,317.45
12/31/2020,323.12
1/29/2021,311.45
2/26/2021,324.12
3/31/2021,341.45
4/30/2021,353.12
5/31/2021,361.45
6/30/2021,357.12
7/30/2021,364.45
8/31/2021,371.12
9/30/2021,357.45
10/29/2021,381.12
11/30/2021,370.45
12/31/2021,387.12
1/31/2022,377.45
2/28/2022,447.12
3/31/2022,491.45
4/29/2022,482.12
5/31/2022,501.45
6/30/2022,464.12
7/29/2022,501.45
8/31/2022,492.12
9/30/2022,458.12
10/31/2022,504.45
11/30/2022,537.12
12/30/2022,528.12
1/31/2023,553.45
2/28/2023,567.12
3/31/2023,587.45
4/28/2023,601.12
5/31/2023,583.45
6/30/2023,611.12
7/31/2023,625.45
8/31/2023,617.12
9/29/2023,643.45
10/31/2023,661.12
11/30/2023,690.45
12/29/2023,707.12
1/31/2024,731.45
2/29/2024,784.12
3/29/2024,828.45
4/30/2024,801.12
5/31/2024,851.45
6/28/2024,834.12
7/31/2024,881.45
8/30/2024,917.12
9/30/2024,948.45
10/31/2024,992.12
11/29/2024,1031.45
12/31/2024,1064.12
1/30/2025,1121.45
2/27/2025,1178.12
3/31/2025,1228.45
