Date,Close
1/31/2007,100.00
2/28/2007,101.45
3/30/2007,98.12
4/30/2007,100.34
5/31/2007,102.11
6/29/2007,104.56
7/31/2007,101.12
8/31/2007,99.88
9/28/2007,103.45
10/31/2007,106.12
11/30/2007,105.22
12/31/2007,108.90
1/31/2008,112.45
2/29/2008,119.34
3/31/2008,121.12
4/30/2008,117.88
5/30/2008,120.45
6/30/2008,126.12
7/31/2008,122.34
8/29/2008,118.90
9/30/2008,121.45
10/31/2008,131.22
11/28/2008,137.45
12/31/2008,142.12
1/30/2009,139.88
2/27/2009,141.12
3/31/2009,134.45
4/30/2009,129.88
5/29/2009,131.22
6/30/2009,127.45
7/31/2009,129.12
8/31/2009,130.45
9/30/2009,133.88
10/30/2009,131.12
11/30/2009,136.45
12/31/2009,130.88
1/29/2010,126.45
2/26/2010,128.12
3/31/2010,132.34
4/30/2010,135.12
5/28/2010,132.45
6/30/2010,133.88
7/30/2010,133.12
8/31/2010,139.45
9/30/2010,141.12
10/29/2010,146.45
11/30/2010,144.12
12/31/2010,150.45
1/31/2011,144.88
2/28/2011,147.12
3/31/2011,146.45
4/29/2011,153.12
5/31/2011,148.45
6/30/2011,144.88
7/29/2011,149.12
8/31/2011,150.45
9/30/2011,149.88
10/31/2011,144.12
11/30/2011,142.45
12/30/2011,142.88
1/31/2012,144.45
2/29/2012,147.12
3/30/2012,144.88
4/30/2012,145.45
5/31/2012,150.12
6/29/2012,145.45
7/31/2012,148.88
8/31/2012,150.12
9/28/2012,146.45
10/31/2012,144.12
11/30/2012,145.45
12/31/2012,143.88
1/31/2013,145.45
2/28/2013,147.12
3/28/2013,150.45
4/30/2013,153.88
5/31/2013,149.12
6/28/2013,145.45
7/31/2013,147.12
8/30/2013,142.45
9/30/2013,145.45
10/31/2013,148.88
11/29/2013,152.12
12/31/2013,149.45
1/31/2014,147.12
2/28/2014,150.45
3/31/2014,149.12
4/30/2014,151.45
5/30/2014,154.88
6/30/2014,156.45
7/31/2014,156.88
8/29/2014,165.12
9/30/2014,171.88
10/31/2014,174.12
11/28/2014,186.45
12/31/2014,193.12
1/30/2015,207.45
2/27/2015,208.12
3/31/2015,211.45
4/30/2015,204.88
5/29/2015,200.12
6/30/2015,190.45
7/31/2015,197.12
8/31/2015,196.88
9/30/2015,195.45
10/30/2015,186.12
11/30/2015,190.45
12/31/2015,186.88
1/29/2016,194.12
2/29/2016,200.45
3/31/2016,201.88
4/29/2016,193.12
5/31/2016,186.45
6/30/2016,191.12
7/29/2016,194.88
8/31/2016,192.12
9/30/2016,186.45
10/31/2016,181.88
11/30/2016,182.45
12/30/2016,188.12
1/31/2017,190.45
2/28/2017,195.88
3/31/2017,193.45
4/28/2017,193.12
5/31/2017,201.45
6/30/2017,194.88
7/31/2017,205.12
8/31/2017,208.45
9/29/2017,200.12
10/31/2017,212.45
11/30/2017,214.12
12/29/2017,210.45
1/31/2018,224.88
2/28/2018,205.12
3/29/2018,204.45
4/30/2018,200.12
5/31/2018,200.45
6/29/2018,203.12
7/31/2018,197.45
8/31/2018,205.88
9/28/2018,194.12
10/31/2018,196.45
11/30/2018,189.12
12/31/2018,202.45
1/31/2019,200.12
2/28/2019,197.45
3/29/2019,214.88
4/30/2019,220.45
5/31/2019,221.88
6/28/2019,230.12
7/31/2019,249.45
8/30/2019,258.12
9/30/2019,247.45
10/31/2019,231.12
11/29/2019,236.45
12/31/2019,239.12
1/31/2020,234.45
2/28/2020,229.88
3/31/2020,247.12
4/30/2020,239.45
5/29/2020,233.12
6/30/2020,228.45
7/31/2020,234.88
8/31/2020,236.12
9/30/2020,227.45
10/30/2020,223.12
11/30/2020,226.45
12/31/2020,244.12
1/29/2021,234.88
2/26/2021,242.45
3/31/2021,250.12
4/30/2021,254.88
5/28/2021,261.12
6/30/2021,257.45
7/30/2021,261.12
8/31/2021,259.45
9/30/2021,245.12
10/29/2021,257.45
11/30/2021,238.12
12/31/2021,237.45
1/31/2022,227.88
2/28/2022,228.45
3/31/2022,244.12
4/29/2022,261.45
5/31/2022,259.12
6/30/2022,267.45
7/29/2022,254.12
8/31/2022,260.45
9/30/2022,286.12
10/31/2022,286.45
11/30/2022,270.12
12/30/2022,268.45
1/31/2023,268.12
2/28/2023,272.45
3/31/2023,251.12
4/28/2023,258.45
5/31/2023,265.12
6/30/2023,273.88
7/31/2023,262.12
8/31/2023,254.45
9/29/2023,269.12
10/31/2023,276.45
11/30/2023,255.12
12/29/2023,260.12
1/31/2024,254.88
2/29/2024,265.45
3/28/2024,280.12
4/30/2024,285.45
5/31/2024,279.12
6/28/2024,270.45
7/31/2024,254.12
8/30/2024,235.45
9/30/2024,244.12
10/31/2024,226.45
11/29/2024,232.12
12/31/2024,240.88
1/31/2025,237.12
2/28/2025,225.45
3/31/2025,219.12
4/30/2025,201.45
5/30/2025,193.88
6/30/2025,202.11
