Date,Close
1/31/2007,100.0
2/28/2007,100.8
3/30/2007,102.01
4/30/2007,104.87
5/31/2007,106.75
6/29/2007,106.54
7/31/2007,104.94
8/31/2007,104.84
9/28/2007,108.82
10/31/2007,111.21
11/30/2007,106.77
12/31/2007,106.23
1/31/2008,98.26
2/29/2008,99.44
3/31/2008,97.95
4/30/2008,102.36
5/30/2008,103.59
6/30/2008,95.82
7/31/2008,93.42
8/29/2008,91.56
9/30/2008,81.94
10/31/2008,66.78
11/28/2008,62.44
12/31/2008,65.25
1/30/2009,59.71
2/27/2009,54.03
3/31/2009,58.46
4/30/2009,65.19
5/29/2009,70.73
6/30/2009,70.87
7/31/2009,77.11
8/31/2009,80.58
9/30/2009,83.96
10/30/2009,82.95
11/30/2009,85.61
12/31/2009,87.75
1/29/2010,84.41
2/26/2010,85.43
3/31/2010,90.38
4/30/2010,89.03
5/28/2010,80.57
6/30/2010,79.6
7/30/2010,86.37
8/31/2010,83.6
9/30/2010,90.71
10/29/2010,94.16
11/30/2010,89.92
12/30/2010,95.76
1/31/2011,98.16
2/28/2011,101.1
3/31/2011,100.09
4/29/2011,104.6
5/31/2011,102.3
6/30/2011,100.76
7/29/2011,99.25
8/31/2011,91.81
9/30/2011,84.0
10/31/2011,90.89
11/30/2011,87.07
12/30/2011,86.64
1/31/2012,90.8
2/29/2012,94.61
3/30/2012,94.8
4/30/2012,93.66
5/31/2012,84.76
6/29/2012,90.02
7/31/2012,92.54
8/31/2012,94.85
9/28/2012,97.51
10/31/2012,98.0
11/30/2012,100.15
12/31/2012,102.96
1/31/2013,107.59
2/28/2013,107.05
3/29/2013,109.41
4/30/2013,114.0
5/31/2013,111.49
6/28/2013,107.93
7/31/2013,113.54
8/30/2013,111.83
9/30/2013,118.77
10/31/2013,123.76
11/29/2013,125.98
12/31/2013,128.76
1/31/2014,127.21
2/28/2014,133.32
3/31/2014,133.98
4/30/2014,135.59
5/30/2014,138.57
6/30/2014,139.27
7/31/2014,137.18
8/29/2014,138.82
9/30/2014,134.38
10/31/2014,135.05
11/28/2014,134.38
12/31/2014,131.96
1/30/2015,130.38
2/27/2015,137.16
3/31/2015,135.51
4/30/2015,140.25
5/29/2015,139.97
6/30/2015,136.89
7/31/2015,138.95
8/31/2015,130.33
9/30/2015,124.86
10/30/2015,133.35
11/30/2015,132.68
12/31/2015,130.69
1/29/2016,123.5
2/29/2016,122.89
