Date,Close
1/31/2007,100.00
2/28/2007,101.12
3/30/2007,102.34
4/30/2007,105.21
5/31/2007,107.45
6/29/2007,106.90
7/31/2007,104.12
8/31/2007,104.88
9/28/2007,109.15
10/31/2007,112.20
11/30/2007,107.80
12/31/2007,106.55
1/31/2008,100.05
2/29/2008,100.90
3/31/2008,100.45
4/30/2008,104.80
5/30/2008,105.90
6/30/2008,97.20
7/31/2008,94.15
8/29/2008,93.20
9/30/2008,82.10
10/31/2008,68.45
11/28/2008,63.10
12/31/2008,65.80
1/30/2009,60.20
2/27/2009,54.10
3/31/2009,58.30
4/30/2009,64.90
5/29/2009,71.20
6/30/2009,71.05
7/31/2009,77.40
8/31/2009,80.60
9/30/2009,83.95
10/30/2009,81.40
11/30/2009,84.50
12/31/2009,85.90
1/29/2010,82.40
2/26/2010,83.50
3/31/2010,88.90
4/30/2010,90.10
5/31/2010,82.20
6/30/2010,79.80
7/30/2010,86.10
8/31/2010,83.20
9/30/2010,91.10
10/29/2010,94.50
11/30/2010,92.20
12/31/2010,98.15
1/31/2011,100.20
2/28/2011,103.50
3/31/2011,102.90
4/29/2011,107.40
5/31/2011,106.20
6/30/2011,104.10
7/29/2011,101.80
8/31/2011,94.50
9/30/2011,86.20
10/31/2011,94.90
11/30/2011,93.10
12/30/2011,94.40
1/31/2012,98.60
2/29/2012,102.80
3/30/2012,104.10
4/30/2012,103.80
5/31/2012,94.50
6/29/2012,99.10
7/31/2012,100.40
8/31/2012,102.60
9/28/2012,105.10
10/31/2012,104.30
11/30/2012,106.10
12/31/2012,107.50
1/31/2013,112.90
2/28/2013,113.80
3/29/2013,116.20
4/30/2013,120.40
5/31/2013,121.10
6/28/2013,118.20
7/31/2013,124.50
8/30/2013,121.60
9/30/2013,127.80
10/31/2013,132.90
11/29/2013,135.20
12/31/2013,137.40
1/31/2014,132.10
2/28/2014,138.80
3/31/2014,138.60
4/30/2014,140.10
5/30/2014,142.90
6/30/2014,145.40
7/31/2014,142.30
8/29/2014,145.80
9/30/2014,141.20
10/31/2014,142.50
11/28/2014,145.10
12/31/2014,142.90
1/30/2015,140.80
2/27/2015,148.90
3/31/2015,146.50
4/30/2015,149.80
5/29/2015,148.40
6/30/2015,144.90
7/31/2015,147.20
8/31/2015,137.90
9/30/2015,132.80
10/30/2015,143.40
11/30/2015,142.80
12/31/2015,140.20
1/29/2016,132.50
2/29/2016,131.90
3/31/2016,140.80
4/29/2016,142.10
5/31/2016,143.20
6/30/2016,144.50
