Date,Close
1/31/2007,100.00
2/28/2007,101.21
3/30/2007,103.45
4/30/2007,108.12
5/31/2007,112.54
6/29/2007,110.11
7/31/2007,106.42
8/31/2007,109.21
9/28/2007,114.54
10/31/2007,119.23
11/30/2007,112.11
12/31/2007,110.42
1/31/2008,98.54
2/29/2008,96.11
3/31/2008,95.23
4/30/2008,102.14
5/30/2008,106.52
6/30/2008,97.11
7/31/2008,95.42
8/29/2008,92.11
9/30/2008,78.54
10/31/2008,62.11
11/28/2008,58.42
12/31/2008,61.12
1/30/2009,56.54
2/27/2009,51.21
3/31/2009,56.11
4/30/2009,64.52
5/29/2009,69.11
6/30/2009,71.21
7/31/2009,78.54
8/31/2009,81.12
9/30/2009,84.51
10/30/2009,82.12
11/30/2009,86.54
