Date,Close
1/31/2007,97.45
2/28/2007,104.22
3/31/2007,108.07
4/30/2007,103.24
5/31/2007,102.99
6/30/2007,113.22
7/31/2007,103.40
8/31/2007,103.86
9/30/2007,112.36
10/31/2007,110.61
11/30/2007,109.84
12/31/2007,112.00
1/31/2008,111.09
2/29/2008,99.86
3/31/2008,90.62
4/30/2008,82.27
5/31/2008,84.17
6/30/2008,86.04
7/31/2008,83.51
8/31/2008,78.81
9/30/2008,75.58
10/31/2008,74.96
11/30/2008,66.41
12/31/2008,64.96
1/31/2009,64.74
2/28/2009,66.38
3/31/2009,72.82
4/30/2009,71.98
5/31/2009,75.47
6/30/2009,76.59
7/31/2009,79.89
8/31/2009,73.89
9/30/2009,71.86
10/31/2009,73.47
11/30/2009,80.67
12/31/2009,84.45
1/31/2010,84.87
2/28/2010,87.90
3/31/2010,84.86
4/30/2010,86.35
5/31/2010,83.65
6/30/2010,77.57
7/31/2010,76.59
8/31/2010,78.93
9/30/2010,80.52
10/31/2010,80.86
11/30/2010,89.94
12/31/2010,92.05
1/31/2011,92.48
2/28/2011,98.01
3/31/2011,88.74
4/30/2011,81.33
5/31/2011,84.43
6/30/2011,78.27
7/31/2011,75.40
8/31/2011,76.05
9/30/2011,76.12
10/31/2011,79.06
11/30/2011,81.22
12/31/2011,81.92
1/31/2012,80.36
2/29/2012,84.51
3/31/2012,87.03
4/30/2012,83.20
5/31/2012,89.83
6/30/2012,94.51
7/31/2012,96.20
8/31/2012,96.70
9/30/2012,93.00
10/31/2012,95.30
11/30/2012,98.82
12/31/2012,96.67
1/31/2013,103.92
2/28/2013,101.09
3/31/2013,93.66
4/30/2013,100.16
5/31/2013,100.58
6/30/2013,102.26
7/31/2013,100.68
8/31/2013,95.63
9/30/2013,103.20
10/31/2013,102.31
11/30/2013,112.28
12/31/2013,118.90
1/31/2014,116.57
2/28/2014,110.25
3/31/2014,106.02
4/30/2014,99.67
5/31/2014,108.47
6/30/2014,108.68
7/31/2014,113.70
8/31/2014,106.61
9/30/2014,106.89
10/31/2014,111.96
11/30/2014,109.67
12/31/2014,114.15
1/31/2015,109.53
2/28/2015,103.71
3/31/2015,106.41
4/30/2015,105.52
5/31/2015,109.52
6/30/2015,100.65
7/31/2015,104.79
8/31/2015,118.09
9/30/2015,119.00
10/31/2015,120.23
11/30/2015,122.27
12/31/2015,113.01
1/31/2016,115.99
2/29/2016,108.38
3/31/2016,107.05
4/30/2016,113.83
5/31/2016,110.85
6/30/2016,114.15
7/31/2016,120.19
8/31/2016,122.56
9/30/2016,115.83
10/31/2016,114.91
11/30/2016,125.91
12/31/2016,115.27
1/31/2017,115.93
2/28/2017,115.16
3/31/2017,117.87
4/30/2017,123.97
5/31/2017,135.19
6/30/2017,136.00
7/31/2017,143.43
8/31/2017,149.26
9/30/2017,155.15
10/31/2017,154.03
11/30/2017,149.93
12/31/2017,145.23
1/31/2018,136.65
2/28/2018,135.11
3/31/2018,136.22
4/30/2018,134.69
5/31/2018,127.97
6/30/2018,134.95
7/31/2018,140.60
8/31/2018,134.80
9/30/2018,126.43
10/31/2018,123.93
11/30/2018,127.73
12/31/2018,126.35
1/31/2019,132.40
2/28/2019,134.12
3/31/2019,139.93
4/30/2019,152.88
5/31/2019,154.68
6/30/2019,159.18
7/31/2019,164.61
8/31/2019,170.45
9/30/2019,163.42
10/31/2019,153.23
11/30/2019,149.63
12/31/2019,154.15
1/31/2020,158.07
2/29/2020,154.44
3/31/2020,164.05
4/30/2020,163.11
5/31/2020,163.38
6/30/2020,162.08
7/31/2020,163.16
8/31/2020,168.41
9/30/2020,173.54
10/31/2020,166.69
11/30/2020,178.16
12/31/2020,169.57
1/31/2021,172.27
2/28/2021,172.27
3/31/2021,166.25
4/30/2021,167.75
5/31/2021,164.22
6/30/2021,166.79
7/31/2021,171.89
8/31/2021,185.44
9/30/2021,190.31
10/31/2021,187.42
11/30/2021,186.43
12/31/2021,189.92
1/31/2022,189.71
2/28/2022,201.26
3/31/2022,212.93
4/30/2022,208.33
5/31/2022,202.03
6/30/2022,177.51
7/31/2022,172.15
8/31/2022,163.59
9/30/2022,160.09
10/31/2022,162.08
11/30/2022,162.52
12/31/2022,161.43
1/31/2023,166.03
2/28/2023,168.32
3/31/2023,173.10
4/30/2023,151.18
5/31/2023,152.29
6/30/2023,154.49
7/31/2023,155.12
8/31/2023,156.61
9/30/2023,164.65
10/31/2023,163.40
11/30/2023,182.85
12/31/2023,192.10
1/31/2024,195.00
2/29/2024,196.16
3/31/2024,198.41
4/30/2024,193.25
5/31/2024,195.39
6/30/2024,200.84
7/31/2024,209.18
8/31/2024,217.86
9/30/2024,218.49
10/31/2024,207.88
11/30/2024,204.79
12/31/2024,222.84
1/31/2025,238.49
2/28/2025,249.49
3/31/2025,248.08
4/30/2025,255.37
5/31/2025,248.14
6/30/2025,249.11
