Date,Close
1/31/2007,100.00
2/28/2007,101.90
3/30/2007,102.98
4/30/2007,107.41
5/31/2007,113.81
6/29/2007,114.22
7/31/2007,110.15
8/31/2007,107.56
9/28/2007,115.82
10/31/2007,122.35
11/30/2007,115.91
12/31/2007,116.82
1/31/2008,104.14
2/29/2008,103.92
3/31/2008,98.65
4/30/2008,105.74
5/30/2008,110.12
6/30/2008,102.35
7/31/2008,96.35
8/29/2008,92.54
9/30/2008,76.42
10/31/2008,61.85
11/28/2008,57.12
12/31/2008,58.84
1/30/2009,59.32
2/27/2009,56.88
3/31/2009,58.12
4/30/2009,66.45
5/29/2009,73.12
6/30/2009,74.55
7/31/2009,81.42
8/31/2009,85.66
9/30/2009,92.12
10/30/2009,89.45
11/30/2009,93.22
12/31/2009,97.45
1/29/2010,93.12
2/26/2010,96.88
3/31/2010,103.45
4/30/2010,106.12
5/28/2010,95.34
6/30/2010,91.22
7/30/2010,98.45
8/31/2010,95.12
9/30/2010,105.88
10/29/2010,112.45
11/30/2010,111.92
12/31/2010,121.45
1/31/2011,123.12
2/28/2011,127.88
3/31/2011,128.12
4/29/2011,133.45
5/31/2011,129.88
6/30/2011,126.12
7/29/2011,122.45
8/31/2011,111.12
9/30/2011,102.34
10/31/2011,114.55
11/30/2011,111.12
12/30/2011,110.88
1/31/2012,118.45
2/29/2012,123.12
3/30/2012,124.88
4/30/2012,123.45
5/31/2012,114.12
6/29/2012,116.88
7/31/2012,119.12
8/31/2012,122.45
9/28/2012,127.12
10/31/2012,125.88
11/30/2012,127.45
12/31/2012,131.12
1/31/2013,138.45
2/28/2013,139.12
3/28/2013,143.88
4/30/2013,146.45
5/31/2013,150.12
6/28/2013,146.88
7/31/2013,153.45
8/30/2013,151.12
9/30/2013,157.88
10/31/2013,164.45
11/29/2013,169.12
12/31/2013,173.45
1/31/2014,170.12
2/28/2014,178.88
3/31/2014,176.45
4/30/2014,175.12
5/30/2014,180.88
6/30/2014,186.45
7/31/2014,183.12
8/29/2014,189.88
9/30/2014,185.45
10/31/2014,187.12
11/28/2014,190.88
12/31/2014,189.45
1/30/2015,188.12
2/27/2015,196.88
3/31/2015,197.45
4/30/2015,202.12
5/29/2015,204.88
6/30/2015,201.45
7/31/2015,202.12
8/31/2015,190.88
9/30/2015,181.45
10/30/2015,191.12
11/30/2015,192.88
12/31/2015,189.45
1/29/2016,180.12
2/29/2016,177.88
3/31/2016,186.45
4/29/2016,189.12
5/31/2016,191.88
6/30/2016,190.45
7/29/2016,198.12
8/31/2016,200.88
9/30/2016,203.45
10/31/2016,200.12
11/30/2016,204.88
12/30/2016,208.45
1/31/2017,214.12
2/28/2017,218.88
3/31/2017,221.45
4/28/2017,224.12
5/31/2017,227.88
6/30/2017,229.45
7/31/2017,235.12
8/31/2017,237.88
9/29/2017,243.45
10/31/2017,250.12
11/30/2017,252.88
12/29/2017,256.45
1/31/2018,268.12
2/28/2018,260.88
3/29/2018,258.45
4/30/2018,260.12
5/31/2018,268.88
6/29/2018,266.45
7/31/2018,272.12
8/31/2018,279.88
9/28/2018,281.45
10/31/2018,258.12
11/30/2018,256.88
12/31/2018,235.45
1/31/2019,252.12
2/28/2019,261.88
3/29/2019,264.45
4/30/2019,274.12
5/31/2019,256.88
6/28/2019,273.45
7/31/2019,276.12
8/30/2019,270.88
9/30/2019,274.45
10/31/2019,282.12
11/29/2019,291.88
12/31/2019,301.45
1/31/2020,299.12
2/28/2020,278.88
3/31/2020,245.45
4/30/2020,276.12
5/29/2020,291.88
6/30/2020,301.45
7/31/2020,320.12
8/31/2020,342.88
9/30/2020,335.45
10/30/2020,329.12
11/30/2020,378.88
12/31/2020,405.45
1/29/2021,412.12
2/26/2021,428.88
3/31/2021,435.45
4/30/2021,458.12
5/28/2021,465.88
6/30/2021,478.45
7/30/2021,482.12
8/31/2021,495.88
9/30/2021,485.45
10/29/2021,508.12
11/30/2021,500.88
12/31/2021,515.45
1/31/2022,485.12
2/28/2022,478.88
3/31/2022,492.45
4/29/2022,465.12
5/31/2022,460.88
6/30/2022,435.45
7/29/2022,460.12
8/31/2022,445.88
9/30/2022,420.45
10/31/2022,442.12
11/30/2022,468.88
12/31/2022,455.45
1/31/2023,485.12
2/28/2023,478.88
3/31/2023,488.45
4/28/2023,495.12
5/31/2023,502.88
6/30/2023,525.45
7/31/2023,542.12
8/31/2023,535.88
9/29/2023,515.45
10/31/2023,492.12
11/30/2023,535.88
12/29/2023,565.45
1/31/2024,575.12
2/29/2024,605.88
3/28/2024,625.45
4/30/2024,610.12
5/31/2024,642.88
6/28/2024,665.45
7/31/2024,675.12
8/30/2024,690.88
9/30/2024,715.45
10/31/2024,705.12
11/29/2024,745.88
12/31/2024,765.45
1/31/2025,785.12
2/28/2025,772.45
3/31/2025,760.12
4/30/2025,752.45
5/30/2025,798.12
6/30/2025,820.45
7/31/2025,835.12
