Date,Close
1/31/2007,100.00
2/28/2007,101.44
3/30/2007,102.05
4/30/2007,104.31
5/31/2007,106.18
6/29/2007,105.74
7/31/2007,103.52
8/31/2007,101.88
9/28/2007,106.14
10/31/2007,111.45
11/30/2007,112.22
12/31/2007,114.36
1/31/2008,120.44
2/29/2008,128.52
3/31/2008,125.17
4/30/2008,124.93
5/30/2008,128.06
6/30/2008,136.14
7/31/2008,131.25
8/29/2008,125.86
9/30/2008,122.96
10/31/2008,128.49
11/28/2008,132.33
12/31/2008,136.21
1/30/2009,135.13
2/27/2009,134.85
3/31/2009,131.62
4/30/2009,129.51
5/29/2009,133.28
6/30/2009,131.94
7/31/2009,134.05
8/31/2009,135.12
9/30/2009,138.64
10/30/2009,137.95
11/30/2009,143.46
12/31/2009,140.29
1/29/2010,138.89
2/26/2010,139.72
3/31/2010,143.22
4/30/2010,145.36
5/31/2010,146.10
6/30/2010,145.08
7/30/2010,146.53
8/31/2010,149.91
9/30/2010,154.55
10/29/2010,158.73
11/30/2010,157.14
12/31/2010,165.63
1/31/2011,164.80
2/28/2011,168.43
3/31/2011,167.09
4/29/2011,172.93
5/31/2011,169.13
6/30/2011,167.44
7/29/2011,171.46
8/31/2011,171.12
9/30/2011,170.26
10/31/2011,167.54
11/30/2011,167.04
12/30/2011,168.04
1/31/2012,170.06
2/29/2012,171.93
3/30/2012,169.53
4/30/2012,169.02
5/31/2012,168.51
6/29/2012,166.83
7/31/2012,168.49
8/31/2012,169.51
9/28/2012,171.21
10/31/2012,168.46
11/30/2012,170.14
12/31/2012,173.21
1/31/2013,176.67
2/28/2013,176.13
3/28/2013,178.60
4/30/2013,181.10
5/31/2013,180.37
6/28/2013,174.59
7/31/2013,175.64
8/30/2013,173.19
9/30/2013,175.78
10/31/2013,178.60
11/29/2013,180.03
12/31/2013,182.55
1/31/2014,179.62
2/28/2014,183.21
3/31/2014,181.74
4/30/2014,181.19
5/30/2014,184.81
6/30/2014,187.39
7/31/2014,185.14
8/29/2014,189.96
9/30/2014,192.62
10/31/2014,195.12
11/28/2014,201.76
12/31/2014,204.18
1/30/2015,209.69
2/27/2015,210.10
3/31/2015,212.41
4/30/2015,208.59
5/29/2015,210.05
6/30/2015,204.16
7/31/2015,206.21
8/31/2015,205.18
9/30/2015,204.77
10/30/2015,207.22
11/30/2015,208.88
12/31/2015,205.12
1/29/2016,211.07
2/29/2016,213.60
3/31/2016,210.61
4/29/2016,206.82
5/31/2016,204.33
6/30/2016,207.19
7/29/2016,209.89
8/31/2016,207.16
9/30/2016,205.91
10/31/2016,203.44
11/30/2016,204.66
12/30/2016,206.71
1/31/2017,208.57
2/28/2017,211.49
3/31/2017,210.43
4/28/2017,211.27
5/31/2017,210.01
6/30/2017,209.17
7/31/2017,211.68
8/31/2017,212.95
9/29/2017,213.37
10/31/2017,218.49
11/30/2017,218.93
12/29/2017,222.87
1/31/2018,229.56
2/28/2018,222.67
3/29/2018,221.78
4/30/2018,223.55
5/31/2018,220.64
6/29/2018,219.10
7/31/2018,219.76
8/31/2018,221.08
9/28/2018,220.86
10/31/2018,216.00
11/30/2018,215.14
12/31/2018,212.55
1/31/2019,215.10
2/28/2019,216.81
3/29/2019,222.01
4/30/2019,223.56
5/31/2019,220.88
6/28/2019,226.62
7/31/2019,228.43
8/30/2019,234.37
9/30/2019,232.49
10/31/2019,230.17
11/29/2019,233.16
12/31/2019,236.42
1/31/2020,237.13
2/28/2020,234.99
3/31/2020,237.81
4/30/2020,238.29
5/29/2020,239.95
6/30/2020,241.15
7/31/2020,246.46
8/31/2020,245.96
9/30/2020,243.51
10/30/2020,241.56
11/30/2020,246.87
12/31/2020,256.25
1/29/2021,257.28
2/26/2021,268.08
3/31/2021,272.91
4/30/2021,279.46
5/31/2021,282.81
6/30/2021,283.94
7/30/2021,284.51
8/31/2021,286.22
9/30/2021,285.93
10/29/2021,289.08
11/30/2021,286.47
12/31/2021,291.63
1/31/2022,295.13
2/28/2022,301.62
3/31/2022,312.48
4/29/2022,319.35
5/31/2022,317.44
6/30/2022,313.31
7/29/2022,311.43
8/31/2022,312.67
9/30/2022,318.93
10/31/2022,319.57
11/30/2022,313.17
12/30/2022,313.80
1/31/2023,313.17
2/28/2023,312.54
3/31/2023,306.92
4/28/2023,307.84
5/31/2023,310.30
6/30/2023,314.95
7/31/2023,318.10
8/31/2023,317.46
9/29/2023,319.37
10/31/2023,316.81
11/30/2023,314.91
12/29/2023,317.43
1/31/2024,318.07
2/29/2024,332.38
3/28/2024,342.35
4/30/2024,345.78
5/31/2024,345.43
6/28/2024,344.05
7/31/2024,339.23
8/30/2024,329.05
9/30/2024,338.27
10/31/2024,334.88
11/29/2024,342.92
12/31/2024,355.61
1/31/2025,362.51
2/28/2025,358.88
3/31/2025,360.53
4/30/2025,344.17
