Date,Close
12/31/2006,100.00
1/31/2007,101.42
2/28/2007,102.88
3/30/2007,104.15
4/30/2007,106.90
5/31/2007,107.55
6/29/2007,108.92
7/31/2007,111.45
8/31/2007,110.88
9/28/2007,116.12
10/31/2007,122.45
11/30/2007,123.12
12/31/2007,125.88
1/31/2008,128.55
2/29/2008,136.12
3/31/2008,139.88
4/30/2008,144.15
5/30/2008,149.22
6/30/2008,158.45
7/31/2008,142.12
8/29/2008,131.55
9/30/2008,118.88
10/31/2008,102.45
11/28/2008,101.12
12/31/2008,108.01
1/30/2009,104.44
2/27/2009,101.88
3/31/2009,105.12
4/30/2009,109.55
5/29/2009,118.45
6/30/2009,112.12
7/31/2009,116.88
8/31/2009,120.45
9/30/2009,123.12
10/30/2009,128.55
11/30/2009,134.12
12/31/2009,134.47
1/29/2010,126.44
2/26/2010,128.99
3/31/2010,132.12
4/30/2010,134.55
5/31/2010,123.88
6/30/2010,122.12
7/30/2010,129.55
8/31/2010,131.88
9/30/2010,142.12
10/29/2010,148.55
11/30/2010,151.12
12/31/2010,163.78
1/31/2011,168.12
2/28/2011,175.45
3/31/2011,180.12
4/29/2011,189.44
5/31/2011,181.12
6/30/2011,184.55
7/29/2011,192.12
8/31/2011,194.88
9/30/2011,179.45
10/31/2011,188.12
11/30/2011,186.55
12/30/2011,194.08
1/31/2012,197.10
2/29/2012,204.33
3/30/2012,199.55
4/30/2012,200.12
5/31/2012,185.45
6/29/2012,190.11
7/31/2012,198.45
8/31/2012,204.15
9/28/2012,210.12
10/31/2012,202.88
11/30/2012,201.12
12/31/2012,192.33
1/31/2013,195.45
2/28/2013,188.12
3/28/2013,189.44
4/30/2013,181.55
5/31/2013,178.12
6/28/2013,169.12
7/31/2013,174.45
8/30/2013,178.88
9/30/2013,176.12
10/31/2013,177.55
11/29/2013,174.12
12/31/2013,175.41
1/31/2014,171.12
2/28/2014,178.55
3/31/2014,182.12
4/30/2014,185.88
5/30/2014,182.45
6/30/2014,186.12
7/31/2014,178.44
8/29/2014,177.12
9/30/2014,168.45
10/31/2014,163.12
11/28/2014,158.55
12/31/2014,155.93
1/30/2015,150.12
2/27/2015,156.44
3/31/2015,150.88
4/30/2015,158.12
5/29/2015,153.45
6/30/2015,150.12
7/31/2015,139.12
8/31/2015,138.15
9/30/2015,134.12
10/30/2015,132.12
11/30/2015,124.55
12/31/2015,121.16
1/29/2016,119.44
2/29/2016,120.12
3/31/2016,124.55
4/29/2016,131.12
5/31/2016,130.45
6/30/2016,136.12
7/29/2016,132.44
8/31/2016,131.12
9/30/2016,134.55
10/31/2016,133.88
11/30/2016,136.12
12/30/2016,141.27
1/31/2017,142.98
2/28/2017,141.88
3/31/2017,141.15
4/28/2017,138.45
5/31/2017,137.99
6/30/2017,137.42
7/31/2017,140.22
8/31/2017,139.88
9/29/2017,141.55
10/31/2017,143.99
11/30/2017,144.12
12/29/2017,149.61
1/31/2018,152.12
2/28/2018,149.55
3/29/2018,151.12
4/30/2018,154.44
5/31/2018,157.12
6/29/2018,152.45
7/31/2018,148.88
8/31/2018,146.12
9/28/2018,149.55
10/31/2018,144.12
11/30/2018,138.88
12/31/2018,132.85
1/31/2019,139.44
2/28/2019,141.12
3/29/2019,139.88
4/30/2019,141.45
5/31/2019,136.12
6/28/2019,140.88
7/31/2019,139.12
8/30/2019,137.55
9/30/2019,139.12
10/31/2019,141.88
11/29/2019,143.45
12/31/2019,148.93
1/31/2020,141.12
2/28/2020,135.44
3/31/2020,118.99
4/30/2020,120.44
5/29/2020,125.12
6/30/2020,128.88
7/31/2020,138.45
8/31/2020,144.12
9/30/2020,140.12
10/30/2020,142.12
11/30/2020,149.88
12/31/2020,162.18
1/29/2021,166.44
2/26/2021,178.12
3/31/2021,174.55
4/30/2021,185.12
5/31/2021,190.88
6/30/2021,192.45
7/30/2021,196.12
8/31/2021,195.44
9/30/2021,201.12
10/29/2021,208.45
11/30/2021,198.12
12/31/2021,209.86
1/31/2022,218.44
2/28/2022,231.54
