Date,Close
7/19/2010,0.091
7/20/2010,0.077
7/21/2010,0.066
7/22/2010,0.054
7/23/2010,0.063
7/26/2010,0.056
7/27/2010,0.06
7/28/2010,0.054
7/29/2010,0.061
7/30/2010,0.061
8/2/2010,0.061
8/3/2010,0.063
8/4/2010,0.057
8/5/2010,0.061
8/6/2010,0.061
8/9/2010,0.071
8/10/2010,0.071
8/11/2010,0.07
8/12/2010,0.061
8/13/2010,0.065
8/16/2010,0.066
8/17/2010,0.066
8/18/2010,0.068
8/19/2010,0.068
8/20/2010,0.065
8/23/2010,0.066
8/24/2010,0.065
8/25/2010,0.065
8/26/2010,0.064
8/27/2010,0.065
8/30/2010,0.063
8/31/2010,0.061
9/1/2010,0.06
9/2/2010,0.061
9/3/2010,0.061
9/7/2010,0.06
9/8/2010,0.061
9/9/2010,0.061
9/10/2010,0.062
9/13/2010,0.061
9/14/2010,0.062
9/15/2010,0.06
9/16/2010,0.062
9/17/2010,0.06
9/20/2010,0.062
9/21/2010,0.063
9/22/2010,0.062
9/23/2010,0.063
9/24/2010,0.062
9/27/2010,0.062
9/28/2010,0.062
9/29/2010,0.062
9/30/2010,0.062
10/1/2010,0.062
10/4/2010,0.061
10/5/2010,0.062
10/6/2010,0.063
10/7/2010,0.064
10/8/2010,0.081
10/11/2010,0.095
10/12/2010,0.092
10/13/2010,0.1
10/14/2010,0.102
10/15/2010,0.098
10/18/2010,0.101
10/19/2010,0.101
10/20/2010,0.1
10/21/2010,0.109
10/22/2010,0.107
10/25/2010,0.13
10/26/2010,0.165
10/27/2010,0.189
10/28/2010,0.19
10/29/2010,0.187
11/1/2010,0.195
11/2/2010,0.195
11/3/2010,0.196
11/4/2010,0.21
11/5/2010,0.25
11/8/2010,0.325
11/9/2010,0.267
11/10/2010,0.176
11/11/2010,0.223
11/12/2010,0.252
11/15/2010,0.27
11/16/2010,0.252
11/17/2010,0.29
11/18/2010,0.283
11/19/2010,0.275
11/22/2010,0.283
11/23/2010,0.276
11/24/2010,0.283
11/26/2010,0.28
11/29/2010,0.244
11/30/2010,0.208
12/1/2010,0.211
12/2/2010,0.241
12/3/2010,0.251
12/6/2010,0.204
12/7/2010,0.248
12/8/2010,0.239
12/9/2010,0.19
12/10/2010,0.188
12/13/2010,0.211
12/14/2010,0.211
12/15/2010,0.246
12/16/2010,0.255
12/17/2010,0.24
12/20/2010,0.268
12/21/2010,0.267
12/22/2010,0.25
12/23/2010,0.25
12/27/2010,0.27
12/28/2010,0.28
12/29/2010,0.296
12/30/2010,0.299
12/31/2010,0.293
1/3/2011,0.298
1/4/2011,0.299
1/5/2011,0.299
1/6/2011,0.298
1/7/2011,0.319
1/10/2011,0.329
1/11/2011,0.327
1/12/2011,0.355
1/13/2011,0.4
1/14/2011,0.399
1/18/2011,0.34
1/19/2011,0.313
1/20/2011,0.34
1/21/2011,0.405
1/24/2011,0.39
1/25/2011,0.41
1/26/2011,0.4
1/27/2011,0.45
1/28/2011,0.432
1/31/2011,0.51
2/1/2011,0.8
2/2/2011,0.74
2/3/2011,0.72
2/4/2011,0.799
2/7/2011,0.882
2/8/2011,0.901
2/9/2011,0.989
2/10/2011,0.995
2/11/2011,0.99
2/14/2011,1.06
2/15/2011,1.05
2/16/2011,1.044
2/17/2011,1.05
2/18/2011,0.8
2/22/2011,0.85
2/23/2011,0.9
2/24/2011,0.953
2/25/2011,0.978
2/28/2011,0.91
3/1/2011,0.92
3/2/2011,0.911
3/3/2011,0.912
3/4/2011,0.919
3/7/2011,0.9
3/8/2011,0.86
3/9/2011,0.852
3/10/2011,0.851
3/11/2011,0.88
3/14/2011,0.9
3/15/2011,0.89
3/16/2011,0.84
3/17/2011,0.849
3/18/2011,0.799
3/21/2011,0.741
3/22/2011,0.79
3/23/2011,0.848
3/24/2011,0.866
3/25/2011,0.88
3/28/2011,0.794
3/29/2011,0.794
3/30/2011,0.768
3/31/2011,0.79
4/1/2011,0.797
4/4/2011,0.71
4/5/2011,0.69
4/6/2011,0.725
4/7/2011,0.768
4/8/2011,0.75
4/11/2011,0.756
4/12/2011,0.87
4/13/2011,0.922
4/14/2011,0.965
4/15/2011,0.95
