Date,Close
1/31/2007,100.0
2/28/2007,101.2
3/30/2007,102.72
4/30/2007,106.11
5/31/2007,107.59
6/29/2007,107.06
7/31/2007,104.16
8/31/2007,103.75
9/28/2007,107.28
10/31/2007,109.96
11/30/2007,104.68
12/31/2007,103.21
1/31/2008,94.34
2/29/2008,94.81
3/31/2008,94.05
4/30/2008,97.91
5/30/2008,98.49
6/30/2008,90.61
7/31/2008,87.17
8/29/2008,84.47
9/30/2008,74.33
10/31/2008,58.13
11/28/2008,53.48
12/31/2008,55.62
1/30/2009,50.17
2/27/2009,44.6
3/31/2009,47.76
4/30/2009,54.07
5/29/2009,59.21
6/30/2009,58.73
7/31/2009,64.66
8/31/2009,67.45
9/30/2009,70.08
10/30/2009,68.88
11/30/2009,70.68
12/31/2009,72.3
1/29/2010,68.97
2/26/2010,69.25
3/31/2010,73.61
4/30/2010,71.55
5/28/2010,63.54
6/30/2010,62.59
7/30/2010,69.03
8/31/2010,66.62
9/30/2010,73.14
10/29/2010,75.7
11/30/2010,71.84
12/30/2010,77.52
1/31/2011,79.3
2/28/2011,81.92
3/31/2011,80.12
4/29/2011,84.84
5/31/2011,82.47
6/30/2011,81.4
7/29/2011,79.85
8/31/2011,72.58
9/30/2011,65.11
10/31/2011,71.29
11/30/2011,67.73
12/30/2011,66.71
1/31/2012,70.25
2/29/2012,73.41
3/30/2012,72.97
4/30/2012,71.44
5/31/2012,63.22
6/29/2012,67.65
7/31/2012,69.81
8/31/2012,71.7
9/28/2012,73.77
10/31/2012,74.36
11/30/2012,76.15
12/31/2012,78.66
1/31/2013,81.81
2/28/2013,80.91
3/29/2013,82.12
4/30/2013,86.47
5/31/2013,83.97
6/28/2013,80.52
7/31/2013,84.87
8/30/2013,83.85
9/30/2013,90.23
10/31/2013,93.39
11/29/2013,94.69
12/31/2013,95.73
1/31/2014,94.01
2/28/2014,99.46
3/31/2014,100.16
4/30/2014,101.66
5/30/2014,103.49
6/30/2014,102.46
7/31/2014,100.31
8/29/2014,100.21
9/30/2014,96.4
10/31/2014,94.86
11/28/2014,93.72
12/31/2014,90.34
1/30/2015,88.99
2/27/2015,94.33
3/31/2015,92.91
4/30/2015,96.72
5/29/2015,95.56
6/30/2015,92.89
7/31/2015,94.84
8/31/2015,87.91
9/30/2015,83.43
10/30/2015,89.52
11/30/2015,88.09
12/31/2015,86.85
1/29/2016,80.6
2/29/2016,79.15
3/31/2016,84.29
4/29/2016,86.32
5/31/2016,85.63
6/30/2016,82.72
7/29/2016,86.93
8/31/2016,87.02
9/30/2016,88.15
10/31/2016,86.3
11/30/2016,84.58
12/30/2016,87.45
1/31/2017,89.99
2/28/2017,91.25
3/31/2017,93.71
4/28/2017,96.15
5/31/2017,99.61
6/30/2017,100.01
