Date,Close
1/31/2007,100.00
2/28/2007,101.42
3/30/2007,102.85
4/30/2007,106.12
5/31/2007,108.44
6/29/2007,108.12
7/31/2007,104.22
8/31/2007,103.65
9/28/2007,108.91
10/31/2007,112.54
11/30/2007,107.82
12/31/2007,106.15
1/31/2008,94.21
2/29/2008,93.88
3/31/2008,94.45
4/30/2008,99.21
5/30/2008,101.55
6/30/2008,93.42
7/31/2008,89.11
8/29/2008,85.24
9/30/2008,76.12
10/31/2008,61.45
11/28/2008,58.02
12/31/2008,61.22
1/30/2009,55.12
2/27/2009,49.88
3/31/2009,53.45
4/30/2009,61.22
5/29/2009,69.45
6/30/2009,68.91
7/31/2009,75.44
8/31/2009,78.21
9/30/2009,81.44
10/30/2009,80.11
11/30/2009,82.35
12/31/2009,84.11
1/29/2010,79.44
2/26/2010,79.88
3/31/2010,84.55
4/30/2010,82.11
5/28/2010,73.44
6/30/2010,72.15
7/30/2010,80.44
8/31/2010,77.82
9/30/2010,85.11
10/29/2010,88.44
11/30/2010,84.21
12/31/2010,89.55
1/31/2011,91.21
2/28/2011,93.44
3/31/2011,91.12
4/29/2011,96.55
5/31/2011,94.21
6/30/2011,93.11
7/29/2011,88.45
8/31/2011,79.11
9/30/2011,70.55
10/31/2011,77.44
11/30/2011,73.12
12/30/2011,72.44
1/31/2012,76.55
2/29/2012,79.11
3/30/2012,76.44
4/30/2012,74.12
5/31/2012,65.88
6/29/2012,70.11
7/31/2012,71.55
8/31/2012,73.44
9/28/2012,76.11
10/31/2012,76.44
11/30/2012,78.21
12/31/2012,81.11
1/31/2013,84.11
2/28/2013,83.44
3/28/2013,84.11
4/30/2013,88.21
5/31/2013,86.11
6/28/2013,83.45
7/31/2013,87.11
8/30/2013,86.12
9/30/2013,92.44
10/31/2013,95.11
11/29/2013,96.21
12/31/2013,97.44
1/31/2014,92.11
2/28/2014,96.44
3/31/2014,96.55
4/30/2014,97.88
5/30/2014,99.11
6/30/2014,100.12
7/31/2014,96.44
8/29/2014,97.44
9/30/2014,92.11
10/31/2014,91.44
11/28/2014,90.11
12/31/2014,88.44
1/30/2015,88.11
2/27/2015,93.11
3/31/2015,91.44
4/30/2015,95.11
5/29/2015,94.22
6/30/2015,91.11
7/31/2015,91.44
8/31/2015,84.11
9/30/2015,80.11
10/30/2015,85.11
11/30/2015,84.12
12/31/2015,82.44
1/29/2016,76.11
2/29/2016,75.44
3/31/2016,81.44
4/29/2016,84.11
5/31/2016,83.11
6/30/2016,80.11
7/29/2016,84.11
8/31/2016,84.22
9/30/2016,85.11
10/31/2016,83.44
11/30/2016,82.11
12/30/2016,84.44
1/31/2017,87.11
2/28/2017,88.44
3/31/2017,90.11
4/28/2017,92.11
5/31/2017,96.44
6/30/2017,96.11
7/31/2017,98.44
8/31/2017,98.45
9/29/2017,100.11
10/31/2017,102.11
11/30/2017,103.11
12/29/2017,105.11
1/31/2018,110.11
2/28/2018,105.11
3/29/2018,104.44
4/30/2018,105.11
5/31/2018,102.11
6/29/2018,100.11
7/31/2018,102.44
8/31/2018,100.11
9/28/2018,101.11
10/31/2018,92.11
11/30/2018,91.11
12/31/2018,87.44
1/31/2019,93.44
2/28/2019,95.11
3/29/2019,95.44
4/30/2019,97.11
5/31/2019,92.44
6/28/2019,98.11
7/31/2019,96.44
8/30/2019,94.11
9/30/2019,96.44
10/31/2019,99.11
11/29/2019,100.11
12/31/2019,103.44
1/31/2020,101.11
2/28/2020,92.11
3/31/2020,78.11
4/30/2020,83.11
5/29/2020,86.11
6/30/2020,89.11
7/31/2020,91.11
8/31/2020,95.11
9/30/2020,92.11
10/30/2020,88.44
11/30/2020,102.11
12/31/2020,107.11
1/29/2021,108.11
2/26/2021,110.44
3/31/2021,113.11
4/30/2021,116.11
5/31/2021,119.44
6/30/2021,118.11
7/30/2021,117.44
8/31/2021,120.11
9/30/2021,116.44
10/29/2021,119.11
11/30/2021,114.11
12/31/2021,119.44
1/31/2022,114.11
2/28/2022,111.44
3/31/2022,112.11
4/29/2022,106.11
5/31/2022,108.44
6/30/2022,98.11
7/29/2022,102.11
8/31/2022,96.11
9/30/2022,87.11
10/31/2022,93.11
11/30/2022,104.11
12/30/2022,103.44
1/31/2023,111.11
2/28/2023,109.11
3/31/2023,112.44
4/28/2023,115.11
5/31/2023,111.11
6/30/2023,116.11
7/31/2023,120.11
8/31/2023,116.44
9/29/2023,112.11
10/31/2023,108.11
11/30/2023,117.44
12/29/2023,123.11
1/31/2024,122.44
2/29/2024,124.11
3/28/2024,128.44
4/30/2024,126.11
5/31/2024,130.44
6/28/2024,129.11
7/31/2024,134.11
8/30/2024,136.44
9/30/2024,141.11
10/31/2024,136.11
11/29/2024,135.11
12/31/2024,134.12
1/31/2025,131.55
2/28/2025,133.82
3/31/2025,132.11
4/30/2025,136.45
5/30/2025,134.12
6/30/2025,137.82
