Date,Close
01/31/2007,25.00
02/28/2007,25.22
03/30/2007,25.48
04/30/2007,25.81
05/31/2007,25.99
06/29/2007,26.40
07/31/2007,25.92
08/31/2007,26.15
09/28/2007,26.88
10/31/2007,27.35
11/30/2007,27.12
12/31/2007,27.15
01/30/2008,28.10
02/29/2008,29.35
03/31/2008,29.11
04/30/2008,28.95
05/30/2008,29.60
06/30/2008,30.82
07/31/2008,29.98
08/29/2008,29.14
09/30/2008,30.22
10/31/2008,31.45
11/28/2008,31.55
12/31/2008,31.88
01/30/2009,31.42
02/27/2009,31.25
03/31/2009,30.88
04/30/2009,30.15
05/29/2009,30.33
06/30/2009,30.10
07/31/2009,30.45
08/31/2009,30.68
09/30/2009,30.41
10/30/2009,30.85
11/30/2009,31.12
12/31/2009,30.95
01/29/2010,30.55
02/26/2010,30.68
03/31/2010,31.12
04/30/2010,31.45
05/31/2010,30.88
06/30/2010,30.95
07/30/2010,30.72
08/31/2010,31.20
09/30/2010,31.65
10/29/2010,32.10
11/30/2010,32.45
12/31/2010,33.12
01/31/2011,33.05
02/28/2011,33.42
03/31/2011,33.15
04/29/2011,33.78
05/31/2011,33.20
06/30/2011,32.85
07/29/2011,33.40
08/31/2011,33.15
09/30/2011,32.88
10/31/2011,32.45
11/30/2011,32.20
12/30/2011,32.48
01/31/2012,32.65
02/29/2012,32.80
03/30/2012,32.45
04/30/2012,32.10
05/31/2012,31.85
06/29/2012,31.60
07/31/2012,31.95
08/31/2012,31.72
09/28/2012,31.88
10/31/2012,31.55
11/30/2012,31.42
12/31/2012,31.55
01/31/2013,31.88
02/28/2013,31.75
03/28/2013,31.90
04/30/2013,32.15
05/31/2013,31.65
06/28/2013,31.20
07/31/2013,31.45
08/30/2013,31.10
09/30/2013,31.35
10/31/2013,31.48
11/29/2013,31.62
12/31/2013,31.20
01/31/2014,31.45
02/28/2014,31.88
03/31/2014,31.60
04/30/2014,31.95
05/30/2014,32.12
06/30/2014,32.45
07/31/2014,32.33
08/29/2014,32.65
09/30/2014,33.10
10/31/2014,33.42
11/28/2014,34.15
12/31/2014,34.52
01/30/2015,34.88
02/27/2015,34.65
03/31/2015,34.95
04/30/2015,34.42
05/29/2015,34.55
06/30/2015,34.10
07/31/2015,34.33
08/31/2015,34.78
09/30/2015,34.92
10/30/2015,34.55
11/30/2015,34.68
12/31/2015,34.48
01/29/2016,35.10
02/29/2016,35.42
03/31/2016,34.88
04/29/2016,34.20
05/31/2016,33.95
06/30/2016,34.25
07/29/2016,33.88
08/31/2016,33.45
09/30/2016,33.12
10/31/2016,32.85
11/30/2016,32.55
12/30/2016,32.41
01/31/2017,32.65
02/28/2017,32.88
03/31/2017,32.72
04/28/2017,32.45
05/31/2017,32.55
06/30/2017,32.12
07/31/2017,32.33
08/31/2017,32.65
09/29/2017,32.95
10/31/2017,33.12
11/30/2017,33.25
12/29/2017,33.05
01/31/2018,33.45
02/28/2018,32.10
03/29/2018,32.33
04/30/2018,32.15
05/31/2018,32.45
06/29/2018,32.20
07/31/2018,31.95
08/31/2018,31.68
09/28/2018,31.88
10/31/2018,31.45
11/30/2018,31.22
12/31/2018,31.10
01/31/2019,31.45
02/28/2019,31.68
03/29/2019,32.10
04/30/2019,32.25
05/31/2019,32.48
06/28/2019,32.65
07/31/2019,32.88
08/30/2019,33.25
09/30/2019,33.12
10/31/2019,33.05
11/29/2019,33.15
12/31/2019,32.96
01/31/2020,33.20
02/28/2020,33.45
03/31/2020,34.15
04/30/2020,33.88
05/29/2020,33.55
06/30/2020,33.12
07/31/2020,33.45
08/31/2020,33.22
09/30/2020,33.10
10/30/2020,33.45
11/30/2020,33.68
12/31/2020,33.45
01/29/2021,33.85
02/26/2021,34.42
03/31/2021,35.15
04/30/2021,35.88
05/31/2021,36.45
06/30/2021,37.12
07/30/2021,37.88
08/31/2021,38.45
09/30/2021,38.92
10/29/2021,39.45
11/30/2021,39.88
12/31/2021,40.11
01/31/2022,41.22
02/28/2022,42.45
03/31/2022,44.15
04/29/2022,45.88
05/31/2022,45.12
06/30/2022,46.45
07/29/2022,45.33
08/31/2022,46.88
09/30/2022,47.45
10/31/2022,47.12
11/30/2022,46.85
12/30/2022,46.20
01/31/2023,45.88
02/28/2023,45.45
03/31/2023,44.88
04/28/2023,45.12
05/31/2023,44.95
06/30/2023,45.22
07/31/2023,45.65
08/31/2023,45.88
09/29/2023,46.12
10/31/2023,46.45
11/30/2023,45.92
12/29/2023,45.33
01/31/2024,45.85
02/29/2024,46.42
03/29/2024,47.15
04/30/2024,47.88
05/31/2024,48.22
06/28/2024,48.65
07/31/2024,48.12
08/30/2024,48.45
09/30/2024,48.92
10/31/2024,49.25
11/29/2024,49.68
12/31/2024,49.44
01/31/2025,48.82
02/28/2025,47.15
03/31/2025,46.10
