Date,Close
1/31/2007,100.00
2/28/2007,101.52
3/30/2007,102.14
4/30/2007,106.31
5/31/2007,110.12
6/29/2007,109.84
7/31/2007,105.23
8/31/2007,105.88
9/28/2007,111.45
10/31/2007,115.62
11/30/2007,110.21
12/31/2007,111.08
1/31/2008,101.55
2/29/2008,102.32
3/31/2008,100.41
4/30/2008,104.98
5/30/2008,108.62
6/30/2008,104.11
7/31/2008,100.25
8/29/2008,100.82
9/30/2008,86.44
10/31/2008,68.23
11/28/2008,62.15
12/31/2008,64.88
1/30/2009,58.72
2/27/2009,53.44
3/31/2009,56.12
4/30/2009,64.48
5/29/2009,72.35
6/30/2009,73.12
7/31/2009,79.84
8/31/2009,83.42
9/30/2009,88.15
10/30/2009,86.02
11/30/2009,90.41
12/31/2009,94.22
1/29/2010,91.35
2/26/2010,94.18
3/31/2010,101.22
4/30/2010,104.55
5/28/2010,96.34
6/30/2010,91.12
7/30/2010,98.65
8/31/2010,95.42
9/30/2010,103.88
10/29/2010,108.21
11/30/2010,109.45
12/31/2010,116.32
1/31/2011,118.42
2/28/2011,123.15
3/31/2011,122.95
4/29/2011,126.34
5/31/2011,124.11
6/30/2011,121.82
7/29/2011,120.45
8/31/2011,112.33
9/30/2011,102.15
10/31/2011,113.48
11/30/2011,112.12
12/30/2011,114.34
1/31/2012,121.22
2/29/2012,125.65
3/30/2012,127.12
4/30/2012,127.88
5/31/2012,121.42
6/29/2012,124.32
7/31/2012,127.84
8/31/2012,130.41
9/28/2012,133.55
10/31/2012,131.22
11/30/2012,132.88
12/31/2012,135.42
1/31/2013,143.15
2/28/2013,145.22
3/28/2013,150.11
4/30/2013,153.42
5/31/2013,158.65
6/28/2013,156.42
7/31/2013,163.15
8/30/2013,161.42
9/30/2013,166.88
10/31/2013,172.12
11/29/2013,176.45
12/31/2013,181.12
1/31/2014,178.42
2/28/2014,185.15
3/31/2014,186.42
4/30/2014,187.33
5/30/2014,191.22
6/30/2014,194.84
7/31/2014,191.12
8/29/2014,196.42
9/30/2014,191.22
10/31/2014,194.55
11/28/2014,196.12
12/31/2014,194.34
1/30/2015,191.12
2/27/2015,200.42
3/31/2015,198.12
4/30/2015,202.45
5/29/2015,203.12
6/30/2015,198.42
7/31/2015,196.42
8/31/2015,184.22
9/30/2015,178.15
10/30/2015,186.42
11/30/2015,185.12
12/31/2015,182.34
1/29/2016,173.15
2/29/2016,172.45
3/31/2016,184.12
4/29/2016,189.45
5/31/2016,191.12
6/30/2016,192.42
7/29/2016,198.15
8/31/2016,198.42
9/30/2016,199.12
10/31/2016,196.42
11/30/2016,204.15
12/30/2016,206.12
1/31/2017,210.42
2/28/2017,214.12
3/31/2017,214.45
4/28/2017,216.12
5/31/2017,217.42
6/30/2017,218.15
7/31/2017,222.42
8/31/2017,222.15
9/29/2017,228.42
10/31/2017,232.12
11/30/2017,236.45
12/29/2017,238.12
1/31/2018,245.42
2/28/2018,236.12
3/29/2018,232.15
4/30/2018,233.42
5/31/2018,238.12
6/29/2018,236.42
7/31/2018,242.15
8/31/2018,244.12
9/28/2018,244.45
10/31/2018,224.12
11/30/2018,228.12
12/31/2018,206.42
1/31/2019,222.15
2/28/2019,228.12
3/29/2019,229.45
4/30/2019,236.12
5/31/2019,222.42
6/28/2019,232.15
7/31/2019,233.12
8/30/2019,226.42
9/30/2019,231.15
10/31/2019,235.42
11/29/2019,240.12
12/31/2019,245.15
1/31/2020,242.12
2/28/2020,222.15
3/31/2020,182.42
4/30/2020,206.12
5/29/2020,214.45
6/30/2020,216.12
7/31/2020,224.42
8/31/2020,232.15
9/30/2020,226.42
10/30/2020,222.15
11/30/2020,244.12
12/31/2020,254.12
1/29/2021,256.45
