Date,Close
1/31/2007,100.00
2/28/2007,100.82
3/30/2007,96.44
4/30/2007,94.12
5/31/2007,90.55
6/29/2007,85.45
7/31/2007,80.12
8/31/2007,80.99
9/28/2007,83.45
10/31/2007,81.22
11/30/2007,74.55
12/31/2007,71.22
1/31/2008,63.15
2/29/2008,66.82
3/31/2008,64.22
4/30/2008,68.45
5/30/2008,65.12
6/30/2008,55.18
7/31/2008,53.44
8/29/2008,56.88
9/30/2008,51.12
10/31/2008,38.45
11/28/2008,37.22
12/31/2008,35.40
1/30/2009,30.12
2/27/2009,24.88
3/31/2009,24.15
4/30/2009,29.44
5/29/2009,31.05
6/30/2009,32.12
7/31/2009,36.88
8/31/2009,42.12
9/30/2009,43.55
10/30/2009,44.12
11/30/2009,45.88
12/31/2009,46.85
1/29/2010,43.22
2/26/2010,44.55
3/31/2010,48.12
4/30/2010,50.45
5/31/2010,46.88
6/30/2010,47.12
7/30/2010,50.55
8/31/2010,51.88
9/30/2010,54.12
10/29/2010,55.45
11/30/2010,53.22
12/31/2010,54.55
1/31/2011,56.12
2/28/2011,57.88
3/31/2011,56.45
4/29/2011,58.12
5/31/2011,59.55
6/30/2011,58.12
7/29/2011,56.44
8/31/2011,49.12
9/30/2011,45.55
10/31/2011,48.88
11/30/2011,46.22
12/30/2011,48.22
1/31/2012,50.45
2/29/2012,53.12
3/30/2012,54.88
4/30/2012,54.12
5/31/2012,51.55
6/29/2012,55.88
7/31/2012,59.12
8/31/2012,60.45
9/28/2012,61.88
10/31/2012,62.12
11/30/2012,63.45
12/31/2012,65.34
1/31/2013,67.12
2/28/2013,65.55
3/29/2013,66.88
4/30/2013,70.12
5/31/2013,69.45
6/28/2013,64.22
7/31/2013,67.55
8/30/2013,67.88
9/30/2013,69.12
10/31/2013,71.45
11/29/2013,70.22
12/31/2013,71.40
1/31/2014,74.12
2/28/2014,77.88
3/31/2014,78.55
4/30/2014,81.12
5/30/2014,84.45
6/30/2014,85.12
7/31/2014,84.44
8/29/2014,86.88
9/30/2014,85.22
10/31/2014,87.55
11/28/2014,90.12
12/31/2014,88.22
1/30/2015,96.45
2/27/2015,100.12
3/31/2015,103.55
4/30/2015,100.12
5/29/2015,97.88
6/30/2015,92.12
7/31/2015,97.45
8/31/2015,95.12
9/30/2015,94.55
10/30/2015,98.88
11/30/2015,100.12
12/31/2015,102.15
1/29/2016,101.44
2/29/2016,102.12
3/31/2016,105.88
4/29/2016,106.12
5/31/2016,107.55
6/30/2016,108.88
7/29/2016,112.12
8/31/2016,111.45
9/30/2016,109.88
10/31/2016,104.12
11/30/2016,101.55
12/30/2016,104.28
1/31/2017,104.12
2/28/2017,105.88
3/31/2017,106.45
4/28/2017,109.12
5/31/2017,112.55
6/30/2017,110.12
7/31/2017,113.88
8/31/2017,113.12
9/29/2017,114.45
10/31/2017,116.88
11/30/2017,115.12
12/29/2017,118.45
1/31/2018,118.12
2/28/2018,114.55
3/30/2018,113.12
4/30/2018,117.44
5/31/2018,119.88
6/29/2018,119.12
7/31/2018,121.55
8/31/2018,120.12
9/28/2018,119.45
10/31/2018,114.88
11/30/2018,113.12
12/28/2018,107.50
