Date,Close
1/31/2007,100.00
2/28/2007,99.63
3/30/2007,101.06
4/30/2007,103.47
5/31/2007,105.60
6/29/2007,105.22
7/31/2007,103.98
8/31/2007,104.94
9/28/2007,107.47
10/31/2007,109.57
11/30/2007,107.73
12/31/2007,106.43
1/31/2008,102.96
2/29/2008,102.37
3/31/2008,102.54
4/30/2008,105.42
5/30/2008,107.16
6/30/2008,102.11
7/31/2008,101.83
8/29/2008,102.24
9/30/2008,96.90
10/31/2008,87.87
11/28/2008,85.30
12/31/2008,87.51
1/30/2009,83.26
2/27/2009,78.97
3/31/2009,82.29
4/30/2009,86.51
5/29/2009,90.31
6/30/2009,90.57
7/31/2009,94.54
8/31/2009,97.36
9/30/2009,99.69
10/30/2009,99.21
11/30/2009,102.15
12/31/2009,103.41
1/29/2010,101.63
2/26/2010,103.64
3/31/2010,106.78
4/30/2010,107.47
5/28/2010,102.67
6/30/2010,100.50
7/30/2010,104.57
8/31/2010,102.96
9/30/2010,107.36
10/29/2010,110.45
11/30/2010,110.48
12/31/2010,114.33
1/31/2011,116.86
2/28/2011,119.76
3/31/2011,119.73
4/29/2011,122.58
5/31/2011,122.17
6/30/2011,121.09
7/29/2011,120.18
8/31/2011,116.26
9/30/2011,111.21
10/31/2011,116.32
11/30/2011,116.67
12/30/2011,117.11
1/31/2012,120.74
2/29/2012,124.40
3/30/2012,127.19
4/30/2012,127.19
5/31/2012,122.30
6/29/2012,125.47
7/31/2012,127.09
8/31/2012,129.94
9/28/2012,132.64
10/31/2012,132.85
11/30/2012,135.01
12/31/2012,136.71
1/31/2013,140.04
2/28/2013,140.97
3/28/2013,143.65
4/30/2013,146.54
5/31/2013,147.57
6/28/2013,145.81
7/31/2013,149.80
8/30/2013,148.27
9/30/2013,152.11
10/31/2013,155.93
11/29/2013,159.00
12/31/2013,161.96
1/31/2014,159.05
2/28/2014,163.51
3/31/2014,164.55
4/30/2014,166.67
5/30/2014,169.80
6/30/2014,171.29
7/31/2014,170.38
8/29/2014,173.71
9/30/2014,171.79
10/31/2014,174.28
11/28/2014,177.27
12/31/2014,175.68
1/30/2015,174.67
2/27/2015,179.82
3/31/2015,178.88
4/30/2015,182.20
5/29/2015,184.35
6/30/2015,181.83
7/31/2015,185.38
8/31/2015,179.53
9/30/2015,176.84
10/30/2015,183.36
11/30/2015,184.71
12/31/2015,183.25
1/29/2016,179.15
2/29/2016,179.18
3/31/2016,185.10
4/29/2016,187.87
5/31/2016,190.49
6/30/2016,189.80
7/29/2016,194.46
8/31/2016,195.85
9/30/2016,197.03
10/31/2016,195.60
11/30/2016,198.91
12/30/2016,201.90
1/31/2017,205.59
2/28/2017,209.67
3/31/2017,211.85
4/28/2017,214.90
5/31/2017,218.43
6/30/2017,218.58
7/31/2017,222.35
8/31/2017,223.34
9/29/2017,226.89
10/31/2017,230.70
11/30/2017,234.66
12/29/2017,236.31
1/31/2018,242.58
2/28/2018,238.08
3/29/2018,236.13
4/30/2018,238.93
5/31/2018,241.82
6/29/2018,241.47
7/31/2018,247.03
8/31/2018,250.52
9/28/2018,252.29
10/31/2018,242.98
11/30/2018,246.85
12/31/2018,236.73
1/31/2019,245.52
2/28/2019,251.63
3/29/2019,256.01
4/30/2019,262.91
5/31/2019,256.09
6/28/2019,264.25
7/31/2019,266.69
8/30/2019,265.61
9/30/2019,270.92
10/31/2019,276.76
11/29/2019,282.79
12/31/2019,288.02
1/31/2020,287.40
2/28/2020,276.08
3/31/2020,257.21
4/30/2020,269.36
5/29/2020,278.31
6/30/2020,284.71
7/31/2020,293.82
8/31/2020,304.68
9/30/2020,302.06
10/30/2020,299.33
11/30/2020,314.01
12/31/2020,322.16
1/29/2021,323.09
2/26/2021,330.71
3/31/2021,339.34
4/30/2021,348.75
5/28/2021,355.22
6/30/2021,357.70
7/30/2021,363.80
8/31/2021,370.36
9/30/2021,362.82
10/29/2021,373.38
11/30/2021,370.85
12/31/2021,379.66
1/31/2022,371.77
2/28/2022,367.51
3/31/2022,375.41
4/29/2022,360.69
5/31/2022,365.36
6/30/2022,348.32
7/29/2022,361.69
8/31/2022,354.89
9/30/2022,338.86
10/31/2022,352.08
11/30/2022,366.83
12/30/2022,360.88
1/31/2023,374.88
2/28/2023,372.91
3/31/2023,383.06
4/28/2023,391.38
5/31/2023,391.82
6/30/2023,402.89
7/31/2023,411.87
8/31/2023,408.19
9/29/2023,399.69
10/31/2023,396.35
11/30/2023,412.02
12/29/2023,423.10
