Date,Close
1/29/2021,100.00
2/26/2021,105.34
3/31/2021,114.43
4/30/2021,119.27
5/31/2021,123.28
6/30/2021,120.30
7/30/2021,123.41
8/31/2021,124.09
9/30/2021,125.93
10/29/2021,126.83
11/30/2021,124.88
12/31/2021,134.84
1/31/2022,147.60
2/28/2022,148.41
3/31/2022,147.10
4/29/2022,153.50
5/31/2022,164.06
6/30/2022,157.56
7/29/2022,157.82
8/31/2022,158.34
9/30/2022,154.95
10/31/2022,166.28
11/30/2022,175.61
12/30/2022,182.47
1/31/2023,181.46
2/28/2023,178.67
3/31/2023,187.31
4/28/2023,194.11
5/31/2023,185.36
6/30/2023,182.09
7/31/2023,177.79
8/31/2023,184.05
9/29/2023,189.41
10/31/2023,188.27
11/30/2023,194.89
12/29/2023,197.25
1/31/2024,206.26
2/29/2024,210.01
3/28/2024,219.59
4/30/2024,224.67
5/31/2024,220.96
6/28/2024,220.72
7/31/2024,218.66
8/30/2024,221.31
9/30/2024,224.47
10/31/2024,220.77
11/29/2024,225.50
12/31/2024,224.76
1/31/2025,233.29
