Date,Close
1/31/2007,100.00
2/28/2007,98.12
3/30/2007,99.45
4/30/2007,101.88
5/31/2007,106.12
6/29/2007,112.45
7/31/2007,108.12
8/31/2007,98.45
9/28/2007,92.12
10/31/2007,88.45
11/30/2007,79.12
12/31/2007,75.45
1/31/2008,68.12
2/29/2008,65.45
3/31/2008,62.12
4/30/2008,66.88
5/30/2008,72.45
6/30/2008,78.12
7/31/2008,75.45
8/29/2008,70.12
9/30/2008,65.88
10/31/2008,58.12
11/28/2008,52.45
12/31/2008,48.12
1/30/2009,42.55
2/27/2009,45.12
3/31/2009,48.88
4/30/2009,52.45
5/29/2009,58.12
6/30/2009,61.45
7/31/2009,59.12
8/31/2009,57.45
9/30/2009,55.12
10/30/2009,56.88
11/30/2009,55.12
12/31/2009,58.45
1/29/2010,55.12
2/26/2010,56.45
3/31/2010,59.12
4/30/2010,58.45
5/28/2010,52.12
6/30/2010,48.88
7/30/2010,50.12
8/31/2010,45.45
9/30/2010,47.12
10/29/2010,48.88
11/30/2010,52.45
12/31/2010,55.12
1/31/2011,54.45
2/28/2011,56.12
3/31/2011,55.45
4/29/2011,54.12
5/31/2011,50.88
6/30/2011,52.45
7/29/2011,48.12
8/31/2011,42.45
9/30/2011,38.12
10/31/2011,40.45
11/30/2011,41.12
12/30/2011,38.88
1/31/2012,40.12
2/29/2012,41.45
3/30/2012,44.12
4/30/2012,42.88
5/31/2012,38.12
6/29/2012,39.45
7/31/2012,36.88
8/31/2012,38.12
9/28/2012,40.45
10/31/2012,39.12
11/30/2012,37.45
12/31/2012,38.45
1/31/2013,41.12
2/28/2013,40.45
3/28/2013,39.88
4/30/2013,38.12
5/31/2013,45.45
6/28/2013,52.12
7/31/2013,54.88
8/30/2013,58.12
9/30/2013,55.45
10/31/2013,53.12
11/29/2013,54.88
12/31/2013,56.12
1/31/2014,52.45
2/28/2014,50.88
3/31/2014,51.45
4/30/2014,50.12
5/30/2014,48.45
6/30/2014,49.12
7/31/2014,48.45
8/29/2014,45.12
9/30/2014,48.88
10/31/2014,46.12
11/28/2014,44.45
12/31/2014,42.12
1/30/2015,35.45
2/27/2015,38.12
3/31/2015,37.45
4/30/2015,39.88
5/29/2015,42.12
6/30/2015,45.45
7/31/2015,44.12
8/31/2015,42.88
9/30/2015,41.12
10/30/2015,42.45
11/30/2015,43.88
12/31/2015,45.12
1/29/2016,40.88
2/29/2016,38.12
3/31/2016,39.45
4/29/2016,41.12
5/31/2016,42.45
6/30/2016,38.12
7/29/2016,36.45
8/31/2016,37.88
9/30/2016,39.12
10/31/2016,42.45
11/30/2016,48.88
12/30/2016,52.12
1/31/2017,51.45
2/28/2017,50.88
3/31/2017,52.12
4/28/2017,50.45
5/31/2017,48.88
6/30/2017,50.12
7/31/2017,49.45
8/31/2017,46.88
9/29/2017,48.12
10/31/2017,49.45
11/30/2017,48.88
12/29/2017,49.12
1/31/2018,52.45
2/28/2018,55.12
3/29/2018,53.88
4/30/2018,55.45
5/31/2018,54.12
6/29/2018,53.45
7/31/2018,55.12
8/31/2018,54.45
9/28/2018,58.12
10/31/2018,61.45
11/30/2018,59.88
12/31/2018,55.12
1/31/2019,53.45
2/28/2019,54.12
3/29/2019,48.88
4/30/2019,50.45
5/31/2019,45.12
6/28/2019,42.45
7/31/2019,41.12
8/30/2019,35.45
9/30/2019,38.12
10/31/2019,37.45
11/29/2019,40.12
12/31/2019,42.88
1/31/2020,38.12
2/28/2020,32.45
3/31/2020,28.12
4/30/2020,30.45
5/29/2020,31.12
6/30/2020,32.45
7/31/2020,28.88
8/31/2020,31.45
9/30/2020,32.12
10/30/2020,35.45
11/30/2020,32.88
12/31/2020,35.12
1/29/2021,38.45
2/26/2021,45.12
3/31/2021,48.88
4/30/2021,46.45
5/28/2021,24.32
