Date,Close
01/31/2007,100.0
02/28/2007,113.62
03/30/2007,125.95
04/30/2007,149.54
05/31/2007,153.9
06/29/2007,158.38
07/31/2007,188.84
08/31/2007,211.36
09/28/2007,213.04
10/31/2007,234.14
11/30/2007,236.13
12/31/2007,238.09
01/31/2008,223.33
02/29/2008,166.16
03/31/2008,126.45
04/30/2008,109.46
05/30/2008,90.31
06/30/2008,85.3
07/31/2008,71.18
08/29/2008,56.17
09/30/2008,58.88
10/31/2008,52.75
11/28/2008,48.65
12/31/2008,38.34
01/30/2009,38.57
02/27/2009,41.07
03/31/2009,39.07
04/30/2009,42.54
05/29/2009,42.58
06/30/2009,43.8
07/31/2009,43.83
08/31/2009,53.55
09/30/2009,56.43
10/30/2009,54.15
11/30/2009,61.14
12/31/2009,57.78
01/29/2010,62.79
02/26/2010,55.98
03/31/2010,53.09
04/30/2010,57.64
05/31/2010,65.38
06/30/2010,70.83
07/30/2010,74.9
08/31/2010,77.96
09/30/2010,72.88
10/29/2010,73.11
11/30/2010,75.04
12/31/2010,87.28
01/31/2011,87.91
02/28/2011,71.88
03/31/2011,72.27
04/29/2011,68.06
05/31/2011,62.3
06/30/2011,64.25
07/29/2011,68.69
08/31/2011,72.82
09/30/2011,65.6
10/31/2011,62.22
11/30/2011,62.6
12/30/2011,66.61
01/31/2012,62.84
02/29/2012,60.95
03/30/2012,54.06
04/30/2012,47.51
05/31/2012,50.35
06/29/2012,55.81
07/31/2012,54.7
08/31/2012,58.91
09/28/2012,60.03
10/31/2012,55.74
11/30/2012,56.8
12/31/2012,63.9
01/31/2013,62.52
02/28/2013,70.17
03/29/2013,52.33
04/30/2013,55.24
05/31/2013,54.65
06/28/2013,52.18
07/31/2013,51.65
08/30/2013,41.46
09/30/2013,39.87
10/31/2013,40.42
11/29/2013,45.05
12/31/2013,42.12
01/31/2014,38.69
02/28/2014,36.6
03/31/2014,39.3
04/30/2014,40.12
05/30/2014,37.85
06/30/2014,39.27
07/31/2014,39.27
08/29/2014,42.35
09/30/2014,39.3
10/31/2014,37.8
11/28/2014,36.14
12/31/2014,31.06
01/30/2015,30.98
02/27/2015,30.8
03/31/2015,29.91
04/30/2015,28.4
05/29/2015,23.95
06/30/2015,22.35
07/31/2015,21.0
08/31/2015,18.87
09/30/2015,18.04
10/30/2015,18.17
11/30/2015,20.72
12/31/2015,20.44
01/29/2016,21.56
02/29/2016,22.09
03/31/2016,18.97
04/29/2016,19.52
05/31/2016,20.24
06/30/2016,25.37
07/29/2016,25.73
08/31/2016,27.24
09/30/2016,28.01
10/31/2016,25.94
11/30/2016,29.43
12/30/2016,32.34
01/31/2017,35.76
02/28/2017,34.06
03/31/2017,39.53
04/28/2017,35.9
05/31/2017,39.03
06/30/2017,48.07
07/31/2017,45.43
08/31/2017,44.68
09/29/2017,46.61
10/31/2017,46.1
11/30/2017,41.25
12/29/2017,42.93
01/31/2018,37.81
02/28/2018,38.52
03/30/2018,34.42
04/30/2018,38.41
05/31/2018,34.79
06/29/2018,32.96
07/31/2018,34.59
08/31/2018,29.94
09/28/2018,29.84
10/31/2018,32.65
11/30/2018,27.15
12/31/2018,26.96
01/31/2019,27.9
02/28/2019,30.19
03/29/2019,27.19
04/30/2019,24.27
05/31/2019,25.7
06/28/2019,26.69
07/31/2019,27.6
08/30/2019,28.79
09/30/2019,27.36
10/31/2019,28.25
11/29/2019,29.33
12/31/2019,27.79
01/31/2020,33.71
02/28/2020,36.67
03/31/2020,34.4
04/30/2020,37.99
05/29/2020,36.37
06/30/2020,40.59
07/31/2020,46.66
08/31/2020,45.32
09/30/2020,51.3
10/30/2020,55.53
11/30/2020,62.15
12/31/2020,75.56
01/29/2021,76.91
02/26/2021,74.77
03/31/2021,71.77
04/30/2021,69.37
05/31/2021,71.66
06/30/2021,76.72
07/30/2021,81.69
08/31/2021,91.04
09/30/2021,94.78
10/29/2021,110.97
11/30/2021,112.75
12/31/2021,144.86
01/31/2022,148.78
02/28/2022,132.94
03/31/2022,116.24
04/29/2022,117.88
05/31/2022,112.06
06/30/2022,115.98
07/29/2022,117.52
08/31/2022,113.31
09/30/2022,101.35
10/31/2022,84.57
11/30/2022,78.69
12/30/2022,82.45
01/31/2023,82.52
02/28/2023,71.75
03/31/2023,71.55
04/28/2023,72.71
05/31/2023,65.59
06/30/2023,65.29
07/31/2023,64.42
08/31/2023,56.61
09/29/2023,57.39
10/31/2023,59.23
11/30/2023,63.91
12/29/2023,68.8
01/31/2024,60.81
02/29/2024,56.17
03/29/2024,59.22
04/30/2024,62.43
