Date,Close
1/31/2007,100.00
2/28/2007,104.12
3/30/2007,106.85
4/30/2007,112.40
5/31/2007,118.92
6/29/2007,115.30
7/31/2007,121.45
8/31/2007,119.80
9/28/2007,132.55
10/31/2007,144.10
11/30/2007,133.22
12/31/2007,135.50
1/31/2008,118.44
2/29/2008,125.60
3/31/2008,121.20
4/30/2008,130.45
5/30/2008,138.12
6/30/2008,128.90
7/31/2008,110.45
8/29/2008,92.30
9/30/2008,71.15
10/31/2008,42.80
11/28/2008,35.60
12/31/2008,33.10
1/30/2009,31.45
2/27/2009,28.90
3/31/2009,34.50
4/30/2009,42.15
5/29/2009,51.80
6/30/2009,53.40
7/31/2009,59.95
8/31/2009,62.30
9/30/2009,68.75
10/30/2009,65.20
11/30/2009,72.45
12/31/2009,78.90
1/29/2010,71.20
2/26/2010,73.55
3/31/2010,81.30
4/30/2010,88.45
5/28/2010,79.10
6/30/2010,75.40
7/30/2010,82.95
8/31/2010,84.15
9/30/2010,95.60
10/29/2010,112.45
