Date,Close
1/31/2007,100.00
2/28/2007,98.42
3/30/2007,101.12
4/30/2007,105.54
5/31/2007,109.11
6/29/2007,107.42
7/31/2007,102.11
8/31/2007,106.54
9/28/2007,112.11
10/31/2007,115.42
11/30/2007,108.11
12/31/2007,105.54
1/31/2008,92.11
2/29/2008,89.42
3/31/2008,88.11
4/30/2008,94.54
5/30/2008,100.12
6/30/2008,91.11
7/31/2008,90.42
8/29/2008,89.11
9/30/2008,76.54
10/31/2008,58.11
11/28/2008,52.42
12/31/2008,55.11
1/30/2009,51.54
2/27/2009,47.12
3/31/2009,52.54
4/30/2009,59.11
5/29/2009,64.42
6/30/2009,66.11
7/31/2009,72.54
8/31/2009,74.11
9/30/2009,78.54
10/30/2009,76.12
11/30/2009,81.11
12/31/2009,84.42
1/29/2010,79.11
2/26/2010,82.54
3/31/2010,88.11
4/30/2010,91.42
5/28/2010,84.11
6/30/2010,78.54
7/30/2010,84.12
8/31/2010,79.54
9/30/2010,86.21
10/29/2010,91.54
11/30/2010,90.12
12/31/2010,95.11
1/31/2011,98.42
2/28/2011,102.54
3/31/2011,101.12
4/29/2011,104.54
5/31/2011,102.11
6/30/2011,100.42
7/29/2011,98.11
8/31/2011,90.54
9/30/2011,81.12
10/31/2011,92.54
11/30/2011,90.11
12/30/2011,91.42
1/31/2012,98.11
2/29/2012,102.54
3/30/2012,104.12
4/30/2012,103.41
5/31/2012,94.12
6/29/2012,98.54
7/31/2012,101.11
8/31/2012,103.12
9/28/2012,105.41
10/31/2012,100.54
11/30/2012,103.11
12/31/2012,106.12
1/31/2013,112.54
2/28/2013,114.11
3/28/2013,119.42
4/30/2013,121.51
5/31/2013,123.11
6/28/2013,120.42
7/31/2013,129.54
8/30/2013,126.11
9/30/2013,132.42
10/31/2013,138.11
