Date,Close
1/31/2007,100.00
2/28/2007,105.10
3/30/2007,107.20
4/30/2007,109.67
5/31/2007,110.22
6/29/2007,111.54
7/31/2007,115.89
8/31/2007,113.00
9/28/2007,122.37
10/31/2007,127.88
11/30/2007,125.45
12/31/2007,130.59
1/31/2008,137.12
2/29/2008,153.17
3/31/2008,143.67
4/30/2008,148.27
5/30/2008,151.83
6/30/2008,164.12
7/31/2008,151.32
8/29/2008,140.73
9/30/2008,124.97
10/31/2008,97.22
11/28/2008,90.52
12/31/2008,88.07
1/30/2009,85.87
2/27/2009,82.69
3/31/2009,87.00
4/30/2009,89.00
5/29/2009,101.01
6/30/2009,99.90
7/31/2009,104.00
8/31/2009,104.83
9/30/2009,105.67
10/30/2009,110.11
11/30/2009,115.61
12/31/2009,116.77
1/29/2010,109.18
2/26/2010,113.87
3/31/2010,115.35
4/30/2010,119.62
5/31/2010,110.65
6/30/2010,110.54
7/30/2010,116.62
8/31/2010,116.97
9/30/2010,125.86
10/29/2010,132.40
11/30/2010,132.67
12/31/2010,145.67
1/31/2011,148.73
2/28/2011,154.53
3/31/2011,158.24
4/29/2011,164.41
5/31/2011,156.19
6/30/2011,149.94
7/29/2011,156.54
8/31/2011,159.67
9/30/2011,136.84
10/31/2011,145.87
11/30/2011,143.97
12/30/2011,139.37
1/31/2012,147.17
2/29/2012,151.15
3/30/2012,147.37
4/30/2012,146.19
5/31/2012,132.89
6/29/2012,136.87
7/31/2012,143.31
8/31/2012,149.75
9/28/2012,151.70
10/31/2012,145.48
11/30/2012,146.79
12/31/2012,144.29
1/31/2013,148.19
2/28/2013,141.22
3/28/2013,140.52
4/30/2013,134.34
5/31/2013,132.87
6/28/2013,127.02
7/31/2013,129.69
8/30/2013,135.13
9/30/2013,132.03
10/31/2013,131.37
11/29/2013,129.66
12/31/2013,129.79
1/31/2014,127.97
2/28/2014,136.29
3/31/2014,137.11
4/30/2014,139.99
5/30/2014,137.19
6/30/2014,139.24
7/31/2014,134.09
8/29/2014,132.35
9/30/2014,123.22
10/31/2014,122.48
11/28/2014,117.33
12/31/2014,111.00
1/30/2015,108.33
2/27/2015,111.04
3/31/2015,105.71
4/30/2015,111.21
5/29/2015,108.43
6/30/2015,109.30
7/31/2015,98.48
8/31/2015,97.59
9/30/2015,94.37
10/30/2015,95.03
11/30/2015,89.04
12/31/2015,85.84
1/29/2016,84.90
2/29/2016,85.66
3/31/2016,88.57
4/29/2016,95.39
5/31/2016,95.30
6/30/2016,99.20
7/29/2016,94.74
8/31/2016,93.60
9/30/2016,96.32
10/31/2016,96.12
11/30/2016,97.09
12/30/2016,97.87
1/31/2017,99.63
2/28/2017,100.82
3/31/2017,98.10
4/28/2017,97.51
5/31/2017,96.44
6/30/2017,96.25
7/31/2017,99.04
8/31/2017,99.53
9/29/2017,100.23
10/31/2017,102.43
11/30/2017,102.43
12/29/2017,105.20
1/31/2018,107.83
2/28/2018,106.64
3/29/2018,106.32
4/30/2018,108.87
5/31/2018,110.61
6/29/2018,106.63
7/31/2018,104.82
8/31/2018,102.93
9/28/2018,104.68
10/31/2018,102.17
11/30/2018,97.67
12/31/2018,95.62
1/31/2019,101.07
2/28/2019,102.89
3/29/2019,102.89
4/30/2019,102.68
5/31/2019,97.96
6/28/2019,101.49
7/31/2019,101.38
8/30/2019,99.15
9/30/2019,100.05
10/31/2019,102.15
11/29/2019,100.21
12/31/2019,105.62
1/31/2020,98.75
2/28/2020,93.52
3/31/2020,81.74
4/30/2020,81.33
5/29/2020,86.04
6/30/2020,89.06
7/31/2020,95.11
8/31/2020,99.58
9/30/2020,96.29
10/30/2020,95.62
11/30/2020,101.16
12/29/2020,106.93
