Date,Close
12/29/2006,100.00
1/31/2007,102.54
2/28/2007,102.86
3/30/2007,106.02
4/30/2007,112.52
5/31/2007,112.49
6/29/2007,112.47
7/31/2007,119.59
8/31/2007,123.76
9/28/2007,122.71
10/31/2007,126.03
11/30/2007,124.99
12/31/2007,123.95
1/31/2008,128.10
2/29/2008,122.73
3/31/2008,118.39
4/30/2008,119.01
5/30/2008,117.77
6/30/2008,122.01
7/31/2008,121.18
8/29/2008,118.22
9/30/2008,127.24
10/31/2008,129.42
11/28/2008,132.96
12/31/2008,129.65
1/30/2009,128.22
2/27/2009,129.74
3/31/2009,125.56
4/30/2009,128.21
5/29/2009,126.54
6/30/2009,126.26
7/31/2009,124.61
8/31/2009,133.69
9/30/2009,134.69
10/30/2009,130.79
11/30/2009,135.60
12/31/2009,130.89
1/29/2010,132.89
2/26/2010,124.84
3/31/2010,120.04
4/30/2010,121.82
5/28/2010,125.95
6/30/2010,127.71
7/30/2010,128.21
8/31/2010,127.89
9/30/2010,122.29
10/29/2010,120.19
11/30/2010,119.21
12/30/2010,124.58
1/31/2011,125.45
2/28/2011,117.09
3/31/2011,117.83
4/29/2011,115.65
5/31/2011,112.33
6/30/2011,114.18
7/29/2011,117.73
8/31/2011,120.97
9/30/2011,116.82
10/31/2011,114.97
11/30/2011,115.73
12/30/2011,119.10
1/31/2012,116.51
2/29/2012,115.17
3/30/2012,110.13
4/30/2012,104.97
5/31/2012,107.43
6/29/2012,111.99
7/31/2012,111.15
8/31/2012,114.50
9/28/2012,115.37
10/31/2012,112.19
11/30/2012,113.05
12/31/2012,118.57
1/31/2013,117.83
2/28/2013,123.69
3/29/2013,111.73
4/30/2013,114.39
5/31/2013,114.17
6/28/2013,112.40
7/31/2013,112.20
8/30/2013,103.83
9/30/2013,102.52
10/31/2013,103.28
11/29/2013,108.11
12/31/2013,105.61
1/31/2014,104.73
2/28/2014,104.99
3/31/2014,110.45
4/30/2014,113.93
5/30/2014,114.10
6/30/2014,118.43
7/31/2014,121.20
8/29/2014,127.73
9/30/2014,127.15
10/31/2014,128.23
11/28/2014,129.04
12/31/2014,125.01
1/30/2015,125.68
2/27/2015,126.20
3/31/2015,125.59
4/30/2015,123.93
5/29/2015,117.17
6/30/2015,114.86
7/31/2015,112.91
8/31/2015,109.18
9/30/2015,108.01
10/30/2015,109.00
11/30/2015,115.65
12/31/2015,115.78
1/29/2016,117.75
2/29/2016,118.38
3/31/2016,111.38
4/29/2016,112.17
5/31/2016,113.30
6/30/2016,123.98
7/29/2016,124.13
8/31/2016,126.44
9/30/2016,127.30
10/31/2016,123.11
11/30/2016,129.02
12/30/2016,133.44
1/31/2017,138.21
2/28/2017,134.91
3/31/2017,142.62
4/28/2017,136.76
5/31/2017,140.66
6/30/2017,152.57
7/31/2017,148.50
8/31/2017,146.75
9/29/2017,148.43
10/31/2017,147.01
11/30/2017,140.20
12/29/2017,141.66
1/31/2018,135.69
2/28/2018,137.26
3/30/2018,132.15
4/30/2018,138.66
5/31/2018,134.17
6/29/2018,131.98
7/31/2018,135.08
8/31/2018,128.59
9/28/2018,128.97
10/31/2018,134.22
11/30/2018,126.00
12/31/2018,126.18
1/31/2019,128.34
2/28/2019,132.88
3/29/2019,128.19
4/30/2019,123.29
5/31/2019,126.53
6/28/2019,128.86
7/31/2019,131.02
8/30/2019,133.66
9/30/2019,131.54
10/31/2019,133.66
11/29/2019,136.11
12/31/2019,133.79
1/31/2020,143.60
2/28/2020,147.13
3/31/2020,142.17
4/30/2020,146.58
5/29/2020,142.75
6/30/2020,147.82
7/31/2020,155.00
8/31/2020,151.79
9/30/2020,158.12
10/30/2020,161.67
11/30/2020,167.61
12/31/2020,180.08
1/29/2021,179.98
2/26/2021,176.67
3/31/2021,172.58
4/30/2021,169.03
5/28/2021,169.93
6/30/2021,173.32
7/30/2021,176.38
8/31/2021,182.90
9/30/2021,184.45
10/29/2021,195.31
11/30/2021,195.06
12/30/2021,215.19
1/31/2022,225.28
2/28/2022,224.16
3/31/2022,221.36
4/29/2022,230.63
5/31/2022,234.59
6/30/2022,246.32
7/29/2022,256.56
8/31/2022,262.32
9/30/2022,261.10
10/31/2022,253.79
11/30/2022,256.16
12/30/2022,270.25
1/31/2023,274.43
2/28/2023,264.66
3/31/2023,268.38
4/28/2023,274.15
5/31/2023,267.86
6/30/2023,271.45
7/31/2023,274.17
