Date,Close
12/31/2006,100.00
1/31/2007,101.42
2/28/2007,99.30
3/30/2007,100.18
4/30/2007,103.54
5/31/2007,106.91
6/29/2007,105.15
7/31/2007,101.32
8/31/2007,102.60
9/28/2007,105.95
10/31/2007,107.52
11/30/2007,103.14
12/31/2007,102.26
1/31/2008,94.12
2/29/2008,91.80
3/31/2008,92.45
4/30/2008,96.82
5/30/2008,97.10
6/30/2008,89.55
7/31/2008,88.72
8/29/2008,89.41
9/30/2008,80.62
10/31/2008,65.85
11/28/2008,61.02
12/31/2008,63.15
1/30/2009,58.42
2/27/2009,52.81
3/31/2009,57.45
4/30/2009,64.32
5/29/2009,67.55
6/30/2009,67.92
7/31/2009,74.15
8/31/2009,76.88
9/30/2009,79.45
10/30/2009,77.91
11/30/2009,82.14
12/31/2009,83.52
1/29/2010,80.45
2/26/2010,83.92
3/31/2010,89.10
4/30/2010,91.22
5/31/2010,84.15
6/30/2010,79.82
7/30/2010,85.12
8/31/2010,81.35
9/30/2010,88.45
10/29/2010,91.72
11/30/2010,91.85
12/31/2010,97.90
1/31/2011,99.92
2/28/2011,103.15
3/31/2011,104.22
4/29/2011,107.15
5/31/2011,105.82
6/30/2011,104.12
7/29/2011,102.15
8/31/2011,96.42
9/30/2011,89.55
10/31/2011,99.12
11/30/2011,98.85
12/30/2011,100.15
1/31/2012,104.62
2/29/2012,108.95
3/30/2012,112.14
4/30/2012,113.25
5/31/2012,106.42
6/29/2012,110.15
7/31/2012,112.45
8/31/2012,114.62
9/28/2012,117.85
10/31/2012,115.42
11/30/2012,116.15
12/31/2012,117.52
1/31/2013,123.40
2/28/2013,125.12
3/31/2013,129.85
4/30/2013,132.10
5/31/2013,135.42
6/28/2013,133.15
7/31/2013,140.22
8/30/2013,136.95
9/30/2013,141.12
10/31/2013,147.45
11/29/2013,151.82
12/31/2013,156.25
1/31/2014,151.15
2/28/2014,157.82
3/31/2014,159.10
4/30/2014,160.45
5/30/2014,163.92
6/30/2014,167.15
7/31/2014,164.82
8/29/2014,171.12
9/30/2014,168.45
10/31/2014,172.90
11/28/2014,177.15
12/31/2014,178.42
1/30/2015,173.12
2/27/2015,182.45
3/31/2015,179.92
4/30/2015,181.15
5/29/2015,183.42
6/30/2015,179.15
7/31/2015,182.85
8/31/2015,171.42
9/30/2015,166.15
10/30/2015,179.12
11/30/2015,180.15
12/31/2015,178.55
1/29/2016,169.12
2/29/2016,170.82
3/31/2016,182.15
4/29/2016,184.42
5/31/2016,187.95
6/30/2016,188.12
7/29/2016,194.45
8/31/2016,194.82
9/30/2016,195.12
10/31/2016,191.45
11/30/2016,201.12
12/30/2016,204.85
1/31/2017,208.12
2/28/2017,215.45
3/31/2017,216.82
4/28/2017,219.12
5/31/2017,222.45
6/30/2017,224.15
7/31/2017,228.82
8/31/2017,228.45
9/29/2017,233.12
10/31/2017,238.92
11/30/2017,245.15
12/29/2017,248.12
1/31/2018,260.12
2/28/2018,251.45
3/29/2018,245.82
4/30/2018,247.12
5/31/2018,252.45
6/29/2018,253.12
7/31/2018,262.15
8/31/2018,269.45
9/28/2018,271.12
10/31/2018,251.82
11/30/2018,257.15
12/31/2018,232.14
1/31/2019,251.15
2/28/2019,261.45
3/29/2019,265.82
4/30/2019,275.12
5/31/2019,258.45
6/28/2019,276.12
7/31/2019,281.45
8/30/2019,276.82
9/30/2019,282.12
10/31/2019,288.45
11/29/2019,298.15
12/31/2019,304.12
1/31/2020,303.45
2/28/2020,278.12
3/31/2020,242.15
4/30/2020,272.82
5/29/2020,286.15
6/30/2020,292.12
7/31/2020,308.15
8/31/2020,331.45
9/30/2020,319.82
10/30/2020,311.15
11/30/2020,345.12
12/31/2020,358.12
1/29/2021,354.15
2/26/2021,368.12
3/31/2021,391.15
4/30/2021,411.45
5/28/2021,414.12
6/30/2021,424.15
7/30/2021,432.82
8/31/2021,445.12
9/30/2021,424.45
10/29/2021,452.12
11/30/2021,450.45
12/31/2021,472.15
1/31/2022,468.15
2/28/2022,464.82
3/31/2022,474.22
4/29/2022,452.15
5/31/2022,455.42
6/30/2022,424.12
7/29/2022,453.85
8/31/2022,438.15
9/30/2022,408.42
10/31/2022,435.12
11/30/2022,457.15
12/30/2022,450.14
1/31/2023,473.42
2/28/2023,462.15
3/31/2023,475.82
4/28/2023,478.12
5/31/2023,471.15
6/30/2023,498.14
