Date,Close
1/31/2007,100.00
2/28/2007,101.92
3/30/2007,103.55
4/30/2007,106.12
5/31/2007,107.05
6/29/2007,108.44
7/31/2007,112.18
8/31/2007,113.55
9/28/2007,120.41
10/31/2007,126.90
11/30/2007,128.05
12/31/2007,133.48
1/31/2008,138.65
2/29/2008,154.21
3/31/2008,155.08
4/30/2008,162.83
5/30/2008,172.60
6/30/2008,188.13
7/31/2008,171.19
8/29/2008,155.10
9/30/2008,136.48
10/31/2008,110.55
11/28/2008,98.39
12/31/2008,89.54
1/30/2009,85.06
2/27/2009,82.08
3/31/2009,84.54
4/30/2009,83.69
5/29/2009,95.41
6/30/2009,92.54
7/31/2009,97.17
8/31/2009,99.11
9/30/2009,98.12
10/30/2009,103.02
11/30/2009,107.14
12/31/2009,111.43
1/29/2010,105.86
2/26/2010,107.45
3/31/2010,111.75
4/30/2010,114.00
5/31/2010,106.02
6/30/2010,104.96
7/30/2010,111.25
8/31/2010,113.48
9/30/2010,123.70
10/29/2010,131.12
11/30/2010,135.05
12/31/2010,147.20
1/31/2011,150.88
2/28/2011,159.93
3/31/2011,166.33
4/29/2011,176.31
5/31/2011,165.73
6/30/2011,161.59
7/29/2011,169.67
8/31/2011,168.82
9/30/2011,151.94
10/31/2011,161.05
11/30/2011,155.41
12/30/2011,151.52
1/31/2012,156.07
2/29/2012,162.31
3/30/2012,158.25
4/30/2012,157.46
5/31/2012,143.29
6/29/2012,150.45
7/31/2012,165.50
8/31/2012,170.47
9/28/2012,174.73
10/31/2012,169.49
11/30/2012,167.79
12/31/2012,164.44
1/31/2013,167.72
2/28/2013,161.01
3/29/2013,161.01
4/30/2013,155.38
5/31/2013,151.49
6/28/2013,146.19
7/31/2013,151.31
8/30/2013,155.10
9/30/2013,151.99
10/31/2013,151.23
11/29/2013,147.45
12/31/2013,149.66
1/31/2014,148.91
2/28/2014,159.33
3/31/2014,160.92
4/30/2014,165.75
5/30/2014,163.26
6/30/2014,166.53
7/31/2014,159.87
8/29/2014,158.27
9/30/2014,150.36
10/31/2014,147.35
11/28/2014,138.51
12/31/2014,127.43
1/30/2015,121.06
2/27/2015,123.48
3/31/2015,118.54
4/30/2015,127.43
5/29/2015,124.88
6/30/2015,123.63
7/31/2015,112.51
8/31/2015,111.38
9/30/2015,109.71
10/30/2015,109.16
11/30/2015,101.52
12/31/2015,97.97
1/29/2016,96.01
2/29/2016,96.59
3/31/2016,100.45
4/29/2016,109.50
5/31/2016,108.40
6/30/2016,114.90
7/29/2016,107.78
8/31/2016,109.94
9/30/2016,111.04
10/31/2016,112.15
11/30/2016,111.59
12/30/2016,116.05
1/31/2017,115.47
2/28/2017,116.63
3/31/2017,113.13
4/28/2017,111.43
5/31/2017,108.09
6/30/2017,107.54
7/31/2017,112.92
8/31/2017,112.92
9/29/2017,115.74
10/31/2017,118.06
11/30/2017,119.24
12/29/2017,123.41
1/31/2018,127.12
2/28/2018,124.57
3/30/2018,125.82
4/30/2018,130.85
5/31/2018,132.16
6/29/2018,128.86
7/31/2018,126.28
8/31/2018,123.75
9/28/2018,126.23
10/31/2018,122.44
11/30/2018,115.09
12/31/2018,108.19
1/31/2019,113.60
2/28/2019,115.87
3/29/2019,115.30
4/30/2019,114.72
5/31/2019,110.13
6/28/2019,113.43
7/31/2019,112.30
8/30/2019,110.05
9/30/2019,111.70
10/31/2019,113.38
11/29/2019,112.81
12/31/2019,118.45
1/31/2020,110.16
2/28/2020,104.65
3/31/2020,92.09
4/30/2020,92.09
5/29/2020,98.08
6/30/2020,101.51
7/31/2020,107.09
8/31/2020,112.45
9/30/2020,109.64
10/30/2020,108.54
11/30/2020,117.77
12/31/2020,123.66
1/29/2021,127.49
2/26/2021,136.16
3/31/2021,133.57
4/30/2021,144.39
5/31/2021,149.30
6/30/2021,151.99
7/30/2021,154.88
8/31/2021,153.17
9/30/2021,161.60
10/29/2021,170.32
11/30/2021,158.06
12/31/2021,164.54
1/31/2022,181.65
2/28/2022,196.00
3/31/2022,214.04
4/29/2022,224.31
5/31/2022,227.90
6/30/2022,203.97
7/29/2022,201.11
8/31/2022,200.91
9/30/2022,186.05
10/31/2022,193.67
11/30/2022,198.52
12/30/2022,194.35
1/31/2023,193.38
2/28/2023,184.48
3/31/2023,183.74
4/28/2023,182.27
5/31/2023,171.52
6/30/2023,175.81
7/31/2023,191.28
8/31/2023,189.56
9/29/2023,188.80
10/31/2023,188.23
11/30/2023,180.89
12/29/2023,175.10
1/31/2024,176.50
2/29/2024,174.03
3/29/2024,179.60
4/30/2024,184.27
5/31/2024,187.77
6/28/2024,183.45
7/31/2024,175.93
8/30/2024,176.11
9/30/2024,178.57
10/31/2024,182.32
11/29/2024,180.86
12/31/2024,188.46
1/31/2025,190.53
2/28/2025,188.82
3/31/2025,193.35
4/30/2025,196.63
5/30/2025,194.27
6/30/2025,200.30
7/31/2025,199.29
8/29/2025,203.08
9/30/2025,203.89
