Date,Close
1/31/2007,100.00
2/28/2007,98.81
3/31/2007,99.92
4/30/2007,103.54
5/31/2007,106.82
6/30/2007,105.74
7/31/2007,102.32
8/31/2007,105.11
9/30/2007,110.42
10/31/2007,115.61
11/30/2007,108.23
12/31/2007,106.11
1/31/2008,93.22
2/29/2008,90.41
3/31/2008,89.15
4/30/2008,95.38
5/31/2008,102.16
6/30/2008,93.42
7/31/2008,94.21
8/31/2008,93.85
9/30/2008,79.14
10/31/2008,65.23
11/30/2008,58.41
12/31/2008,61.54
1/30/2009,58.22
2/27/2009,55.14
3/31/2009,61.12
4/30/2009,69.54
5/29/2009,74.68
6/30/2009,77.31
7/31/2009,84.52
8/31/2009,86.11
9/30/2009,91.24
10/30/2009,90.58
11/30/2009,96.32
12/31/2009,101.45
1/29/2010,92.51
2/26/2010,97.14
3/31/2010,104.52
4/30/2010,107.81
5/31/2010,100.12
6/30/2010,94.14
7/30/2010,102.45
8/31/2010,97.23
9/30/2010,108.54
10/29/2010,114.21
11/30/2010,113.84
12/31/2010,118.92
1/31/2011,122.14
2/28/2011,126.32
3/31/2011,123.41
4/29/2011,128.54
5/31/2011,126.11
6/30/2011,124.23
7/29/2011,122.84
8/31/2011,114.52
9/30/2011,108.21
10/31/2011,119.54
11/30/2011,118.42
12/30/2011,118.91
1/31/2012,127.32
2/29/2012,134.14
3/30/2012,139.52
4/30/2012,138.11
5/31/2012,127.42
6/29/2012,132.31
7/31/2012,135.54
8/31/2012,139.12
9/28/2012,136.21
10/31/2012,129.54
11/30/2012,132.81
12/31/2012,134.14
1/31/2013,140.23
2/28/2013,142.11
3/29/2013,147.54
4/30/2013,148.92
5/31/2013,154.21
6/28/2013,151.42
7/31/2013,159.54
8/30/2013,157.21
9/30/2013,165.42
10/31/2013,174.51
11/29/2013,181.23
12/31/2013,188.14
1/31/2014,185.12
2/28/2014,195.42
3/31/2014,191.11
4/30/2014,192.54
5/30/2014,199.12
6/30/2014,204.52
7/31/2014,206.14
8/29/2014,215.23
9/30/2014,213.11
10/31/2014,221.42
11/28/2014,228.14
12/31/2014,226.54
1/30/2015,224.21
2/27/2015,241.12
3/31/2015,236.42
4/30/2015,242.11
5/29/2015,246.54
6/30/2015,238.12
7/31/2015,244.52
8/31/2015,229.11
9/30/2015,228.42
10/30/2015,248.14
11/30/2015,249.52
12/31/2015,245.11
1/29/2016,227.42
2/29/2016,226.11
3/31/2016,243.54
4/29/2016,238.21
5/31/2016,248.12
6/30/2016,246.54
7/29/2016,264.12
8/31/2016,268.54
9/30/2016,274.21
10/31/2016,272.11
11/30/2016,276.54
12/30/2016,281.42
1/31/2017,294.11
2/28/2017,308.54
3/31/2017,314.12
4/28/2017,322.11
5/31/2017,336.54
6/30/2017,332.12
7/31/2017,348.54
8/31/2017,354.12
9/29/2017,361.21
10/31/2017,388.54
11/30/2017,392.11
12/29/2017,406.54
1/31/2018,442.12
2/28/2018,438.54
3/30/2018,421.11
4/30/2018,424.54
5/31/2018,446.12
6/29/2018,448.54
7/31/2018,461.21
8/31/2018,485.54
9/28/2018,488.11
10/31/2018,432.54
11/30/2018,429.11
12/31/2018,382.54
