Date,Close
1/31/2007,100.0
2/28/2007,100.0
3/30/2007,101.27
4/30/2007,105.66
5/31/2007,111.62
6/29/2007,112.24
7/31/2007,112.98
8/31/2007,116.54
9/28/2007,124.18
10/31/2007,125.23
11/30/2007,121.04
12/31/2007,118.7
1/31/2008,109.69
2/29/2008,105.34
3/31/2008,102.51
4/30/2008,109.64
5/30/2008,113.1
6/30/2008,97.97
7/31/2008,98.02
8/29/2008,101.96
9/30/2008,89.77
10/31/2008,74.21
11/28/2008,68.32
12/31/2008,74.34
1/30/2009,71.9
2/27/2009,60.1
3/31/2009,62.59
4/30/2009,70.63
5/29/2009,74.44
6/30/2009,74.08
7/31/2009,77.69
8/31/2009,82.15
9/30/2009,86.78
10/30/2009,82.22
11/30/2009,88.02
12/31/2009,91.45
1/29/2010,89.68
2/26/2010,93.92
3/31/2010,99.99
4/30/2010,102.19
5/28/2010,93.78
6/30/2010,86.78
7/30/2010,92.58
8/31/2010,84.82
9/30/2010,92.73
10/29/2010,97.09
11/30/2010,96.15
12/31/2010,101.12
1/31/2011,107.32
2/28/2011,108.09
3/31/2011,110.11
4/29/2011,111.14
5/31/2011,109.46
6/30/2011,110.71
7/29/2011,103.33
8/31/2011,95.61
9/30/2011,89.34
10/31/2011,99.06
11/30/2011,98.63
12/30/2011,99.44
1/31/2012,105.24
2/29/2012,109.44
3/30/2012,110.16
4/30/2012,109.23
5/31/2012,101.14
6/29/2012,104.56
7/31/2012,104.78
8/31/2012,108.58
9/28/2012,110.38
10/31/2012,111.55
11/30/2012,113.99
12/31/2012,116.98
1/31/2013,118.71
2/28/2013,121.95
3/28/2013,129.28
4/30/2013,129.72
5/31/2013,138.16
6/28/2013,139.11
7/31/2013,150.27
8/30/2013,148.1
9/30/2013,155.5
10/31/2013,162.01
11/29/2013,170.6
12/31/2013,175.87
1/31/2014,175.76
2/28/2014,184.94
3/31/2014,183.75
4/30/2014,181.84
5/30/2014,184.6
6/30/2014,183.19
7/31/2014,176.55
8/29/2014,185.25
9/30/2014,184.3
10/31/2014,191.54
11/28/2014,197.17
12/31/2014,198.22
1/30/2015,195.32
2/27/2015,210.63
3/31/2015,209.9
4/30/2015,203.96
5/29/2015,207.04
6/30/2015,202.44
7/31/2015,203.18
8/31/2015,195.1
9/30/2015,188.62
10/30/2015,205.27
11/30/2015,209.52
12/31/2015,206.18
1/29/2016,192.7
2/29/2016,195.13
3/31/2016,204.67
4/29/2016,210.99
5/31/2016,214.18
6/30/2016,217.75
7/29/2016,225.08
8/31/2016,226.48
9/30/2016,227.0
10/31/2016,224.96
11/30/2016,249.28
12/30/2016,245.89
1/31/2017,246.72
2/28/2017,260.62
3/31/2017,256.56
4/28/2017,264.04
5/31/2017,272.58
6/30/2017,271.12
7/31/2017,282.4
8/31/2017,292.67
9/29/2017,304.42
10/31/2017,311.6
11/30/2017,319.44
12/29/2017,319.91
1/31/2018,344.13
2/28/2018,342.94
3/29/2018,337.22
4/30/2018,330.21
5/31/2018,337.63
6/29/2018,327.03
7/31/2018,350.55
8/31/2018,352.34
9/28/2018,367.09
10/31/2018,325.08
11/30/2018,329.56
12/31/2018,295.89
1/31/2019,332.09
2/28/2019,355.84
3/29/2019,347.31
4/30/2019,371.22
5/31/2019,363.79
6/28/2019,389.91
7/31/2019,397.17
8/30/2019,407.08
9/30/2019,408.26
10/31/2019,406.09
11/29/2019,418.65
12/31/2019,413.13
1/31/2020,427.03
2/28/2020,383.77
3/31/2020,303.39
4/30/2020,327.79
5/29/2020,346.46
6/30/2020,337.63
7/31/2020,334.34
8/31/2020,355.13
9/30/2020,340.32
10/30/2020,329.09
11/30/2020,396.99
12/31/2020,415.01
1/29/2021,395.04
2/26/2021,410.88
3/31/2021,445.59
4/30/2021,459.74
5/28/2021,468.14
6/30/2021,461.1
7/30/2021,459.38
8/31/2021,452.26
9/30/2021,441.71
10/29/2021,450.25
11/30/2021,421.8
12/31/2021,444.45
1/31/2022,432.7
2/28/2022,475.2
3/31/2022,482.37
4/29/2022,447.45
5/31/2022,444.5
6/30/2022,433.6
7/29/2022,459.02
8/31/2022,442.63
9/30/2022,400.16
10/31/2022,471.24
11/30/2022,490.34
12/30/2022,486.72
1/31/2023,498.89
2/28/2023,498.76
3/31/2023,500.77
4/28/2023,499.34
5/31/2023,484.36
6/30/2023,525.94
7/31/2023,531.24
