Date,Close
1/31/2007,100.0
2/28/2007,97.06
3/30/2007,107.49
4/30/2007,122.4
5/31/2007,136.44
6/29/2007,133.34
7/31/2007,107.17
8/31/2007,106.12
9/28/2007,121.65
10/31/2007,129.04
11/30/2007,108.84
12/31/2007,104.86
1/31/2008,89.06
2/29/2008,103.39
3/31/2008,86.92
4/30/2008,92.33
5/30/2008,108.06
6/30/2008,113.3
7/31/2008,94.95
8/29/2008,79.49
9/30/2008,59.1
10/31/2008,42.96
11/28/2008,45.64
12/31/2008,45.84
1/30/2009,43.9
2/27/2009,38.87
3/31/2009,45.93
4/30/2009,60.96
5/29/2009,73.82
6/30/2009,68.61
7/31/2009,74.11
8/31/2009,71.24
9/30/2009,74.66
10/30/2009,73.07
11/30/2009,77.34
12/31/2009,86.54
1/29/2010,72.82
2/26/2010,73.93
3/31/2010,73.92
4/30/2010,66.37
5/28/2010,65.91
6/30/2010,57.56
7/30/2010,68.95
8/31/2010,65.92
9/30/2010,75.2
10/29/2010,75.2
11/30/2010,94.1
12/31/2010,101.83
1/31/2011,103.82
2/28/2011,103.92
3/31/2011,73.87
4/29/2011,71.14
5/31/2011,66.96
6/30/2011,59.89
7/29/2011,63.53
8/31/2011,54.12
9/30/2011,39.35
10/31/2011,50.24
11/30/2011,44.47
12/30/2011,40.54
1/31/2012,52.18
2/29/2012,53.03
3/30/2012,46.76
4/30/2012,44.42
5/31/2012,35.47
6/29/2012,37.11
7/31/2012,36.51
8/31/2012,37.51
9/28/2012,38.06
10/31/2012,35.22
11/30/2012,30.3
12/31/2012,33.01
1/31/2013,35.85
2/28/2013,33.06
3/28/2013,32.6
4/30/2013,28.54
5/31/2013,30.64
6/28/2013,28.07
7/31/2013,30.64
8/30/2013,27.55
9/30/2013,25.77
10/31/2013,24.74
11/29/2013,25.35
12/31/2013,25.95
1/31/2014,26.85
2/28/2014,30.64
3/31/2014,29.23
4/30/2014,26.08
5/30/2014,25.53
6/30/2014,24.59
7/31/2014,25.22
8/29/2014,25.75
9/30/2014,22.04
10/31/2014,19.54
11/28/2014,21.87
12/31/2014,20.11
1/30/2015,17.91
2/27/2015,19.53
3/31/2015,18.23
4/30/2015,20.8
5/29/2015,19.42
6/30/2015,16.34
7/31/2015,14.46
8/31/2015,14.09
9/30/2015,12.31
10/30/2015,13.13
11/30/2015,12.14
12/31/2015,12.64
1/29/2016,11.53
2/29/2016,11.38
3/31/2016,13.14
4/29/2016,13.68
5/31/2016,12.44
6/30/2016,12.85
7/29/2016,12.53
8/31/2016,12.41
9/30/2016,11.78
10/31/2016,10.95
11/30/2016,11.25
12/30/2016,12.49
1/31/2017,16.87
2/28/2017,16.2
3/31/2017,14.89
4/28/2017,12.77
5/31/2017,12.49
6/30/2017,12.79
7/31/2017,14.04
8/31/2017,13.46
9/29/2017,12.9
10/31/2017,11.58
11/30/2017,13.85
12/29/2017,14.9
1/31/2018,13.96
2/28/2018,12.61
3/29/2018,11.95
4/30/2018,13.21
5/31/2018,13.05
6/29/2018,12.74
7/31/2018,13.04
8/31/2018,12.6
9/28/2018,13.18
10/31/2018,11.89
11/30/2018,12.42
12/31/2018,11.61
1/31/2019,12.63
2/28/2019,12.3
3/29/2019,12.42
4/30/2019,12.06
5/31/2019,11.5
6/28/2019,12.19
7/31/2019,11.07
8/30/2019,10.64
9/30/2019,11.04
10/31/2019,10.91
11/29/2019,10.86
12/31/2019,11.2
1/31/2020,10.22
2/28/2020,9.8
3/31/2020,8.8
4/30/2020,10.94
5/29/2020,11.32
6/30/2020,11.13
7/31/2020,11.8
8/31/2020,12.82
9/30/2020,11.41
10/30/2020,11.08
11/30/2020,12.13
12/31/2020,15.82
1/29/2021,14.99
2/26/2021,18.06
3/31/2021,19.44
4/30/2021,20.24
5/28/2021,22.59
6/30/2021,21.91
7/30/2021,20.68
8/31/2021,21.65
9/30/2021,24.59
10/29/2021,27.76
11/30/2021,25.88
12/31/2021,24.94
1/31/2022,22.58
2/28/2022,26.35
3/31/2022,28.59
4/29/2022,25.34
5/31/2022,23.97
6/30/2022,20.39
7/29/2022,23.71
8/31/2022,25.64
9/30/2022,21.77
10/31/2022,22.19
11/30/2022,23.61
12/30/2022,22.11
1/31/2023,25.36
2/28/2023,23.05
3/31/2023,21.95
4/28/2023,22.03
5/31/2023,21.9
6/30/2023,23.9
7/31/2023,25.0
